accuracy	0.825906	0.819764	0.814441	0.814645	0.815806	0.807343	0.818672	0.810755	0.813144	0.821948	0.808503	0.811165	0.813622	0.808913	0.804477	0.816352	0.820105	0.822016	0.817375	0.816488
recall	0.668271	0.665052	0.646925	0.651376	0.662039	0.661743	0.660418	0.650704	0.667454	0.681334	0.656016	0.638452	0.662028	0.646642	0.640451	0.647268	0.677213	0.680225	0.660414	0.665483
precision	0.802676	0.789401	0.803278	0.786096	0.775934	0.748721	0.795599	0.779702	0.779293	0.777798	0.762889	0.771906	0.768796	0.763925	0.758581	0.796484	0.784959	0.789442	0.788118	0.778624
f1score	0.697536	0.692345	0.672427	0.677023	0.687829	0.684204	0.687662	0.675310	0.692897	0.707489	0.679749	0.662013	0.686993	0.670199	0.662594	0.673202	0.704005	0.707560	0.687093	0.691537
mcc	0.451360	0.437110	0.422181	0.416212	0.422905	0.401143	0.435520	0.410621	0.432521	0.448884	0.405043	0.388050	0.417385	0.393459	0.381145	0.417913	0.449438	0.456791	0.429969	0.429453
spd0	0.073807	0.055599	0.058521	0.030142	0.035226	0.028804	0.051648	0.030633	0.045019	0.081253	0.014080	0.017369	0.030558	0.011692	0.025641	0.029794	0.072520	0.067493	0.054569	0.031392
aod0	0.017412	0.010395	0.005958	0.048020	0.047419	0.135056	0.024299	0.056403	0.029387	0.014958	0.073681	0.064370	0.046148	0.079246	0.136906	0.061209	0.001453	0.004090	0.015408	0.063059
eod0	0.030152	0.016321	0.014824	0.075732	0.074052	0.189249	0.042405	0.091323	0.040423	0.016439	0.106671	0.104654	0.067829	0.120878	0.212405	0.103498	0.003175	0.006757	0.023820	0.104964
spd1	0.050567	0.064178	0.047298	0.057296	0.043508	0.077706	0.054459	0.043890	0.075683	0.087548	0.068633	0.040466	0.082734	0.049197	0.041912	0.041093	0.073830	0.078430	0.050631	0.069524
aod1	0.014153	0.040910	0.015265	0.033064	0.014924	0.052957	0.030473	0.009697	0.051746	0.067664	0.028814	0.001009	0.073360	0.020848	0.012506	0.002201	0.047272	0.060577	0.008108	0.056525
eod1	0.008079	0.055933	0.013383	0.040950	0.014768	0.064022	0.046438	0.001334	0.068234	0.095133	0.017834	0.017913	0.109154	0.022465	0.047841	0.011939	0.060794	0.088781	0.003610	0.083936
wcspd	0.113720	0.104803	0.091853	0.093480	0.079103	0.116052	0.098397	0.096233	0.117949	0.141664	0.105443	0.075125	0.108446	0.075635	0.097078	0.071438	0.134231	0.129294	0.098428	0.107410
wcaod	0.073615	0.074019	0.034932	0.102455	0.061223	0.188321	0.053711	0.127246	0.131051	0.068122	0.133266	0.075286	0.123447	0.135426	0.153313	0.065986	0.097701	0.112703	0.045305	0.115295
wceod	0.136973	0.117099	0.050756	0.153288	0.089674	0.262552	0.093726	0.201833	0.204688	0.102213	0.183970	0.114780	0.188070	0.224211	0.230605	0.107495	0.153090	0.188841	0.057891	0.189357
avespd	0.041562	0.041605	0.035744	0.030986	0.027519	0.044756	0.036848	0.025541	0.041927	0.058507	0.035691	0.021472	0.042057	0.025812	0.030061	0.024925	0.049437	0.050985	0.035260	0.036779
aveaod	0.020280	0.026410	0.011240	0.032953	0.018128	0.053770	0.016727	0.037457	0.041365	0.031804	0.040600	0.021082	0.048007	0.040421	0.048113	0.025548	0.032711	0.039713	0.012347	0.040138
aveeod	0.038574	0.039343	0.014841	0.047792	0.029101	0.077087	0.024079	0.061193	0.060966	0.044531	0.050426	0.040188	0.072063	0.061166	0.086771	0.045170	0.048250	0.062911	0.019037	0.060077
