accuracy	0.821444	0.813222	0.816889	0.822444	0.808778	0.814778	0.807222	0.818444	0.819222	0.814111	0.815111	0.811111	0.817889	0.816333	0.806444	0.814000	0.820667	0.819000	0.806222	0.817222
recall	0.642272	0.633321	0.636271	0.641103	0.630567	0.651250	0.616996	0.645373	0.641407	0.636850	0.632455	0.641480	0.657046	0.641116	0.619882	0.628295	0.662161	0.642541	0.631699	0.641750
precision	0.757922	0.751332	0.761655	0.754651	0.745772	0.753650	0.750756	0.756037	0.769918	0.745277	0.766038	0.746529	0.752850	0.755179	0.759810	0.758546	0.757419	0.758938	0.750689	0.741504
f1score	0.667585	0.656327	0.660535	0.666339	0.652359	0.675438	0.636591	0.670201	0.666814	0.660025	0.656085	0.664455	0.681539	0.665369	0.639761	0.651068	0.687271	0.667509	0.653231	0.665348
mcc	0.383119	0.366103	0.377655	0.379115	0.358273	0.391738	0.342563	0.385854	0.390734	0.366421	0.375435	0.373518	0.398543	0.379525	0.352968	0.364254	0.408624	0.384236	0.363403	0.370043
spd0	0.027419	0.031554	0.017542	0.032084	0.049892	0.017437	0.057137	0.003239	0.033667	0.016871	0.030188	0.030350	0.007433	0.017859	0.060920	0.013962	0.002082	0.040955	0.049559	0.009365
aod0	0.056609	0.070904	0.054048	0.074652	0.093531	0.045047	0.114151	0.032243	0.071307	0.049834	0.065096	0.062667	0.034736	0.047891	0.112250	0.044947	0.027095	0.078147	0.095307	0.032721
eod0	0.097843	0.123082	0.105646	0.130000	0.164716	0.074177	0.205954	0.068189	0.125407	0.094723	0.114849	0.106789	0.063757	0.085828	0.196040	0.082628	0.056061	0.133814	0.168892	0.059553
spd1	0.069321	0.069705	0.029930	0.055536	0.081563	0.071644	0.045498	0.038165	0.078217	0.048540	0.046879	0.076919	0.085505	0.048736	0.073640	0.042772	0.059549	0.062742	0.034022	0.074297
aod1	0.065549	0.072186	0.028650	0.038813	0.089910	0.057571	0.037402	0.045876	0.082785	0.039661	0.032745	0.090102	0.067069	0.036548	0.076153	0.042278	0.040042	0.048785	0.027189	0.066650
eod1	0.088060	0.108953	0.054815	0.042144	0.149114	0.076967	0.058341	0.069769	0.128867	0.060138	0.042697	0.136598	0.071196	0.050499	0.104939	0.076116	0.030363	0.070557	0.046293	0.084695
wcspd	0.092677	0.099549	0.077037	0.115440	0.139963	0.097998	0.099940	0.055381	0.124092	0.094327	0.080244	0.118207	0.094757	0.074503	0.140342	0.085329	0.082769	0.116724	0.120908	0.080033
wcaod	0.117958	0.131821	0.149810	0.191716	0.181372	0.121860	0.128358	0.113142	0.177635	0.151226	0.096522	0.167651	0.110259	0.105043	0.187200	0.139274	0.130798	0.176972	0.191390	0.088747
wceod	0.178599	0.213770	0.278236	0.315368	0.301329	0.208556	0.214569	0.215379	0.292748	0.268282	0.148982	0.265414	0.178378	0.157880	0.304218	0.239474	0.225258	0.303529	0.331258	0.124060
avespd	0.032910	0.032976	0.022068	0.034495	0.041862	0.029188	0.033301	0.015482	0.036355	0.025986	0.022748	0.031604	0.039821	0.020478	0.044884	0.023508	0.022555	0.037037	0.040842	0.036764
aveaod	0.034295	0.039728	0.048141	0.062887	0.061988	0.038720	0.053040	0.033894	0.058339	0.047336	0.039321	0.053650	0.029733	0.036397	0.071740	0.043077	0.036375	0.060582	0.068994	0.036240
aveeod	0.054049	0.066554	0.090704	0.105243	0.101067	0.065441	0.089280	0.066560	0.098027	0.085590	0.064558	0.086263	0.056369	0.058284	0.121133	0.075250	0.065445	0.103665	0.120286	0.050199
