accuracy	0.809222	0.803667	0.806000	0.811333	0.799000	0.798889	0.800333	0.805667	0.803778	0.804333	0.801667	0.800667	0.805333	0.801889	0.796556	0.804111	0.804222	0.809333	0.796667	0.811111
recall	0.595604	0.595929	0.600037	0.598365	0.592506	0.593054	0.594192	0.601854	0.599272	0.599148	0.594900	0.601442	0.598520	0.590938	0.594658	0.596902	0.594709	0.609070	0.597803	0.603684
precision	0.747959	0.745702	0.750400	0.743294	0.739206	0.740788	0.742970	0.740617	0.744442	0.735096	0.744623	0.737916	0.755125	0.739168	0.741642	0.745944	0.751630	0.748891	0.744138	0.745804
f1score	0.610441	0.609656	0.615372	0.614627	0.604312	0.604941	0.606695	0.617905	0.614072	0.614337	0.607875	0.616369	0.613090	0.602899	0.606471	0.611024	0.607947	0.627506	0.610516	0.621265
mcc	0.307934	0.307049	0.316539	0.309397	0.297509	0.299375	0.302561	0.313099	0.311553	0.305348	0.304727	0.310707	0.317081	0.294954	0.302478	0.308755	0.308750	0.329525	0.309046	0.319285
spd0	0.025591	0.028625	0.025885	0.023661	0.026832	0.035333	0.021658	0.023542	0.025931	0.032621	0.023246	0.025973	0.023832	0.023890	0.014634	0.029239	0.016883	0.030340	0.023538	0.026335
aod0	0.034637	0.027290	0.021120	0.019048	0.036588	0.044621	0.018993	0.016610	0.030869	0.033667	0.027490	0.029518	0.028309	0.025334	0.011689	0.023356	0.011891	0.036931	0.020667	0.031273
eod0	0.058073	0.039394	0.023519	0.025009	0.061182	0.075715	0.025443	0.015795	0.050469	0.046321	0.045753	0.047425	0.049899	0.038932	0.016338	0.027047	0.017185	0.057701	0.024942	0.050924
spd1	0.048105	0.039062	0.038994	0.024188	0.033862	0.025796	0.027279	0.028536	0.032679	0.027584	0.032763	0.056266	0.040429	0.038585	0.032899	0.032855	0.037584	0.039161	0.021144	0.035514
aod1	0.044791	0.037453	0.043732	0.014969	0.026102	0.016252	0.006079	0.029832	0.028294	0.017864	0.022044	0.070465	0.029298	0.032842	0.023715	0.027768	0.020751	0.023162	0.011853	0.018368
eod1	0.058308	0.056668	0.074832	0.022536	0.037025	0.026234	0.011030	0.038852	0.044213	0.025460	0.027828	0.113430	0.032913	0.046476	0.022531	0.042972	0.003776	0.027460	0.016536	0.007419
wcspd	0.072059	0.068988	0.052726	0.038083	0.058996	0.055777	0.051346	0.042895	0.051995	0.045223	0.047098	0.080702	0.070787	0.057255	0.047896	0.048426	0.047491	0.072562	0.033445	0.085418
wcaod	0.063644	0.065260	0.071168	0.043287	0.057982	0.050183	0.044968	0.042344	0.047943	0.040878	0.041367	0.089767	0.052502	0.059535	0.044603	0.049050	0.043003	0.045631	0.033862	0.086877
wceod	0.094226	0.087298	0.125212	0.078331	0.084169	0.085985	0.093015	0.060230	0.071267	0.060337	0.056455	0.150993	0.064066	0.115103	0.079901	0.076839	0.089636	0.070135	0.074453	0.147143
avespd	0.031123	0.028141	0.024858	0.016904	0.024784	0.023248	0.020415	0.020163	0.023312	0.021083	0.020796	0.034814	0.027723	0.025518	0.017191	0.022783	0.021678	0.028823	0.015831	0.028344
aveaod	0.030318	0.026664	0.023475	0.017582	0.024030	0.020546	0.015051	0.017531	0.022231	0.016160	0.016583	0.040515	0.022485	0.023389	0.015546	0.017862	0.014397	0.021936	0.014821	0.027163
aveeod	0.041429	0.038294	0.035391	0.029321	0.036197	0.033859	0.027670	0.019294	0.034598	0.022400	0.024784	0.063475	0.029443	0.037538	0.026876	0.024567	0.029678	0.026750	0.027788	0.047154
