accuracy	0.853923	0.857538	0.853285	0.859239	0.857538	0.854561	0.857112	0.850734	0.850096	0.854561	0.859877	0.851584	0.854774	0.854348	0.842441	0.870508	0.853710	0.857538	0.851371	0.856900
recall	0.638863	0.647220	0.648937	0.649266	0.649235	0.639727	0.637773	0.640939	0.640770	0.638733	0.641862	0.634641	0.648819	0.649342	0.626052	0.653905	0.634927	0.630059	0.641092	0.638436
precision	0.753098	0.779678	0.768281	0.761270	0.773223	0.760070	0.773206	0.765280	0.740039	0.765639	0.755719	0.758452	0.749618	0.762867	0.744083	0.782224	0.781660	0.749121	0.752029	0.758485
f1score	0.668343	0.680010	0.679964	0.680181	0.681369	0.670030	0.669598	0.671249	0.668236	0.669553	0.672341	0.664245	0.677690	0.679875	0.652745	0.688728	0.666656	0.659411	0.670139	0.668861
mcc	0.374945	0.405828	0.399785	0.394963	0.403854	0.381254	0.388024	0.386721	0.367643	0.383941	0.380929	0.373086	0.385476	0.396268	0.350812	0.416824	0.389891	0.360003	0.377143	0.378331
spd0	0.032648	0.037581	0.042864	0.040193	0.032803	0.044568	0.034793	0.043350	0.035230	0.039950	0.037109	0.049452	0.046073	0.041920	0.032344	0.035931	0.032036	0.032590	0.041085	0.038843
aod0	0.005260	0.005052	0.025116	0.030467	0.003371	0.021500	0.018732	0.009449	0.008614	0.021059	0.004129	0.033452	0.026662	0.024678	0.004344	0.013444	0.010806	0.002247	0.021849	0.000102
eod0	0.026334	0.004601	0.040206	0.049648	0.005536	0.021114	0.029254	0.000091	0.001211	0.030384	0.009225	0.045449	0.033359	0.030909	0.003100	0.041205	0.015264	0.021732	0.029371	0.017585
spd1	0.020630	0.033306	0.025548	0.016894	0.031312	0.024168	0.028905	0.037170	0.026331	0.025543	0.022920	0.033920	0.041113	0.036323	0.035798	0.035559	0.022040	0.027115	0.028162	0.025969
aod1	0.024877	0.005933	0.010714	0.010823	0.010822	0.021437	0.012086	0.022163	0.001147	0.007094	0.019419	0.019240	0.038030	0.033737	0.037096	0.038387	0.005914	0.005421	0.034233	0.003815
eod1	0.047675	0.003242	0.018679	0.023013	0.012200	0.037441	0.012406	0.029576	0.013824	0.006392	0.030367	0.022603	0.055605	0.055177	0.063322	0.066911	0.004438	0.002790	0.063190	0.018276
wcspd	0.053179	0.072222	0.062432	0.052055	0.064928	0.068735	0.057090	0.081001	0.059010	0.062434	0.061667	0.086081	0.087705	0.074490	0.068664	0.068118	0.052101	0.059617	0.066861	0.066906
wcaod	0.047528	0.017791	0.028704	0.040560	0.013019	0.043029	0.027225	0.039908	0.012076	0.030433	0.028806	0.052877	0.055413	0.056750	0.050875	0.053145	0.019538	0.024779	0.057903	0.025900
wceod	0.090476	0.015873	0.047663	0.068030	0.023749	0.056270	0.040203	0.051715	0.018235	0.041667	0.067154	0.064338	0.075858	0.084201	0.079030	0.110238	0.025253	0.035724	0.094913	0.039863
avespd	0.016364	0.021935	0.021909	0.019070	0.020154	0.022061	0.022161	0.024725	0.020414	0.020320	0.018794	0.025581	0.027320	0.025373	0.020797	0.023085	0.017459	0.017734	0.022136	0.020086
aveaod	0.015013	0.005874	0.011651	0.014141	0.004564	0.013941	0.010927	0.012643	0.005154	0.011249	0.008081	0.016838	0.021493	0.020437	0.019552	0.018250	0.006313	0.007483	0.018692	0.008238
aveeod	0.030304	0.006648	0.019885	0.025349	0.007354	0.020964	0.014404	0.017536	0.006173	0.016887	0.020019	0.024191	0.032021	0.030903	0.033375	0.031396	0.009248	0.014122	0.032116	0.016637
