accuracy	0.849033	0.850734	0.851371	0.856687	0.851371	0.849458	0.847969	0.842866	0.844355	0.852435	0.859239	0.844993	0.852435	0.847119	0.841803	0.864980	0.843929	0.851584	0.845843	0.852009
recall	0.626846	0.631935	0.648252	0.644131	0.634215	0.631668	0.621300	0.625765	0.623288	0.638436	0.640950	0.619905	0.649446	0.634253	0.632196	0.645679	0.617104	0.619572	0.630878	0.630882
precision	0.738365	0.759233	0.760820	0.753412	0.755649	0.742796	0.741150	0.740576	0.724066	0.756458	0.753476	0.737603	0.741133	0.741522	0.738755	0.761954	0.747028	0.727869	0.734820	0.741478
f1score	0.653985	0.661346	0.678202	0.673912	0.663522	0.659434	0.648195	0.652236	0.648395	0.668075	0.671097	0.646020	0.676783	0.661647	0.658637	0.677453	0.643332	0.645726	0.657390	0.658808
mcc	0.347768	0.369875	0.393279	0.382228	0.370469	0.357595	0.342062	0.347886	0.332413	0.376844	0.378035	0.337579	0.379664	0.360140	0.355317	0.390698	0.340164	0.330132	0.350615	0.355557
spd0	0.034289	0.025974	0.045595	0.038523	0.032890	0.038475	0.028419	0.041378	0.035723	0.040467	0.034106	0.041590	0.043447	0.038700	0.032867	0.039135	0.039020	0.032536	0.040292	0.045153
aod0	0.008030	0.002093	0.034138	0.033240	0.017941	0.019866	0.024008	0.009273	0.022258	0.027458	0.018364	0.013459	0.030506	0.029966	0.012069	0.008043	0.047177	0.012215	0.025339	0.030609
eod0	0.000795	0.001324	0.058233	0.057722	0.026758	0.024113	0.047486	0.002036	0.030022	0.045242	0.029387	0.003861	0.046755	0.045602	0.017021	0.003328	0.089829	0.010854	0.036476	0.045318
spd1	0.027515	0.028917	0.019121	0.017236	0.021110	0.023429	0.027610	0.029137	0.017310	0.022153	0.013520	0.023981	0.033239	0.030264	0.034592	0.034226	0.017844	0.018016	0.020714	0.020622
aod1	0.038665	0.006525	0.000838	0.000720	0.009445	0.006290	0.026366	0.007185	0.002231	0.012156	0.004888	0.013890	0.027680	0.033063	0.050376	0.049943	0.012178	0.005617	0.018167	0.003266
eod1	0.069855	0.001304	0.000173	0.002535	0.025017	0.000663	0.045612	0.001764	0.003677	0.023291	0.008526	0.021137	0.041909	0.059618	0.098423	0.094694	0.022873	0.018165	0.033341	0.011051
wcspd	0.061850	0.056137	0.061844	0.054378	0.055658	0.061943	0.048961	0.074593	0.053916	0.057600	0.055362	0.071138	0.079087	0.068923	0.067948	0.069709	0.057614	0.051077	0.059764	0.065402
wcaod	0.067891	0.033260	0.039952	0.051494	0.025803	0.030969	0.039947	0.057395	0.054913	0.033142	0.028556	0.042012	0.074364	0.058777	0.063501	0.056624	0.053819	0.038386	0.045854	0.039032
wceod	0.126531	0.063492	0.062858	0.096623	0.046817	0.040022	0.067143	0.087060	0.093168	0.056373	0.035519	0.056855	0.117964	0.093750	0.111784	0.109501	0.097865	0.059312	0.072581	0.063718
avespd	0.018349	0.017145	0.021599	0.018180	0.016776	0.019064	0.019993	0.022124	0.017696	0.019978	0.019869	0.022944	0.023275	0.021190	0.020532	0.023596	0.019440	0.016541	0.019321	0.022100
aveaod	0.022493	0.010054	0.017898	0.019637	0.008353	0.011426	0.018155	0.016805	0.016660	0.013414	0.010394	0.012636	0.020459	0.021194	0.025312	0.022968	0.022486	0.010496	0.013898	0.016860
aveeod	0.041189	0.020145	0.029762	0.035115	0.018008	0.014710	0.032758	0.029065	0.025762	0.023536	0.013667	0.015235	0.032646	0.037483	0.049193	0.043155	0.040565	0.016638	0.023374	0.025920
