accuracy	0.852222	0.845843	0.850734	0.854986	0.856687	0.856687	0.851371	0.849458	0.850308	0.850308	0.857538	0.848395	0.855624	0.854774	0.839677	0.869658	0.853923	0.853285	0.848820	0.855411
recall	0.637336	0.591095	0.634073	0.620954	0.672301	0.659951	0.618363	0.636857	0.622361	0.664259	0.608071	0.627338	0.646284	0.643752	0.670092	0.648455	0.641715	0.595498	0.637096	0.645247
precision	0.746904	0.770292	0.767404	0.758849	0.758237	0.758385	0.759228	0.762405	0.748868	0.739793	0.766865	0.748616	0.753898	0.768140	0.724952	0.782054	0.776526	0.747840	0.743815	0.749214
f1score	0.665928	0.612348	0.664249	0.650049	0.700355	0.689501	0.646585	0.666592	0.650230	0.689407	0.636001	0.655293	0.675942	0.674956	0.690163	0.683212	0.673515	0.619313	0.664945	0.674306
mcc	0.368288	0.313828	0.378690	0.353887	0.421874	0.406591	0.350332	0.379009	0.349009	0.396930	0.339648	0.355855	0.385441	0.392661	0.391216	0.409254	0.395918	0.307689	0.365656	0.380514
spd0	0.006858	0.002317	0.026821	0.012544	0.014390	0.017076	0.008321	0.015385	0.003828	0.016251	0.000529	0.000586	0.000389	0.002755	0.006337	0.015810	0.007575	0.000579	0.012805	0.015702
aod0	0.046580	0.036127	0.007332	0.013349	0.025691	0.041810	0.057199	0.036168	0.046666	0.027114	0.050645	0.072182	0.055558	0.062109	0.048987	0.050481	0.038564	0.044147	0.036931	0.045062
eod0	0.090001	0.068526	0.016016	0.023593	0.044541	0.088872	0.098535	0.072209	0.092482	0.045911	0.097385	0.144266	0.101514	0.119026	0.084310	0.102675	0.068333	0.083523	0.074251	0.091828
spd1	0.006627	0.006712	0.001050	0.001458	0.021339	0.002075	0.013468	0.016182	0.012833	0.014084	0.006482	0.021923	0.015474	0.018410	0.028810	0.025340	0.002061	0.008364	0.005402	0.020698
aod1	0.011191	0.023542	0.046192	0.004724	0.007838	0.043990	0.017454	0.027891	0.015332	0.028057	0.014836	0.000335	0.015048	0.004409	0.023265	0.016727	0.044988	0.016551	0.025016	0.015629
eod1	0.020084	0.047695	0.086618	0.003440	0.013767	0.086568	0.040139	0.062107	0.032211	0.057223	0.032784	0.008849	0.036339	0.008856	0.048471	0.028870	0.083711	0.034802	0.048791	0.037686
wcspd	0.016185	0.010749	0.032717	0.015269	0.038510	0.027651	0.023478	0.035684	0.017343	0.029514	0.010018	0.035591	0.030140	0.023074	0.035390	0.037423	0.009489	0.015729	0.019565	0.038506
wcaod	0.061896	0.068271	0.067571	0.023693	0.031330	0.086792	0.090130	0.054265	0.057445	0.071840	0.113104	0.076702	0.065543	0.067289	0.074793	0.093835	0.079367	0.053156	0.057175	0.066651
wceod	0.119213	0.132470	0.122640	0.041151	0.050537	0.181529	0.170000	0.118106	0.118337	0.139706	0.230386	0.157262	0.121559	0.126556	0.143425	0.187132	0.145238	0.106036	0.116821	0.142823
avespd	0.004884	0.003505	0.014204	0.006646	0.011071	0.009991	0.006942	0.009328	0.006509	0.009375	0.003122	0.011318	0.008278	0.009311	0.014426	0.014604	0.003830	0.004393	0.006840	0.010819
aveaod	0.019846	0.021001	0.020418	0.008997	0.011855	0.031024	0.033784	0.023509	0.022194	0.019612	0.035969	0.034901	0.024720	0.028639	0.024750	0.032488	0.029216	0.020785	0.021421	0.023724
aveeod	0.037768	0.041571	0.037974	0.014877	0.020111	0.061415	0.060231	0.047621	0.045126	0.035831	0.071030	0.071793	0.046684	0.055389	0.045424	0.065603	0.053105	0.039601	0.041282	0.048977
