accuracy	0.801444	0.803667	0.809000	0.739222	0.804222	0.798333	0.784333	0.797222	0.812556	0.779444	0.795556	0.791000	0.784444	0.785444	0.793778	0.795778	0.773778	0.786333	0.793111	0.783556
recall	0.653261	0.663071	0.665107	0.658290	0.657803	0.663371	0.656945	0.658036	0.664870	0.661883	0.660367	0.659693	0.657018	0.667736	0.666033	0.664156	0.672663	0.674895	0.666785	0.664998
precision	0.700694	0.713697	0.723749	0.634981	0.720462	0.708654	0.684107	0.698955	0.734001	0.673720	0.701061	0.695111	0.681971	0.684133	0.704796	0.699082	0.672909	0.685079	0.705283	0.675301
f1score	0.669314	0.680138	0.684109	0.642970	0.676878	0.679031	0.667496	0.672575	0.685904	0.667185	0.674821	0.672687	0.666923	0.674843	0.680037	0.677254	0.672786	0.679571	0.680705	0.669702
mcc	0.350763	0.373352	0.384409	0.292343	0.373040	0.369259	0.339969	0.354638	0.392834	0.335394	0.359129	0.353031	0.338069	0.351487	0.368798	0.361555	0.345572	0.359830	0.370071	0.340143
spd0	0.019741	0.029186	0.031456	0.037867	0.010315	0.034130	0.030441	0.018643	0.020099	0.032860	0.021500	0.024670	0.029136	0.046220	0.018756	0.025018	0.021911	0.034734	0.037498	0.024469
aod0	0.007794	0.010777	0.013878	0.019733	0.002100	0.028820	0.008464	0.000867	0.003894	0.015160	0.016458	0.009020	0.014342	0.044625	0.000147	0.010592	0.002613	0.027539	0.014026	0.013464
eod0	0.001855	0.001603	0.000070	0.010207	0.013754	0.043046	0.013441	0.013164	0.008397	0.000615	0.024813	0.002210	0.008287	0.061891	0.017058	0.008719	0.021445	0.028708	0.013932	0.011069
spd1	0.032222	0.016727	0.014001	0.107486	0.043807	0.007055	0.017192	0.016842	0.044592	0.027665	0.009978	0.043349	0.001545	0.018789	0.009822	0.003601	0.033976	0.024446	0.002513	0.007091
aod1	0.030945	0.004152	0.012962	0.119328	0.039071	0.005548	0.040481	0.016610	0.044048	0.046188	0.003908	0.056234	0.016664	0.032043	0.007674	0.004345	0.056682	0.057515	0.016687	0.026627
eod1	0.061050	0.015886	0.045798	0.100138	0.077136	0.021898	0.040728	0.005943	0.085181	0.039337	0.015739	0.104721	0.011664	0.012376	0.012629	0.023090	0.070814	0.067315	0.004799	0.027593
wcspd	0.059966	0.043939	0.042995	0.131135	0.061972	0.036230	0.038410	0.042749	0.062625	0.059060	0.034976	0.079294	0.043389	0.058411	0.021989	0.026070	0.057539	0.046325	0.040705	0.054040
wcaod	0.035472	0.012914	0.028463	0.153417	0.069375	0.034248	0.050321	0.041983	0.066618	0.090331	0.030200	0.064994	0.028533	0.071894	0.032907	0.019778	0.058889	0.105760	0.049341	0.063169
wceod	0.065407	0.046875	0.072636	0.141878	0.137666	0.059424	0.067574	0.050019	0.128030	0.117500	0.082384	0.125201	0.017584	0.109239	0.069479	0.044968	0.103295	0.175231	0.064490	0.097315
avespd	0.023050	0.017553	0.017059	0.056850	0.019564	0.013900	0.016230	0.014984	0.023719	0.023146	0.012440	0.030049	0.017671	0.023222	0.008707	0.010355	0.015705	0.020342	0.011377	0.018961
aveaod	0.016430	0.004874	0.010161	0.063286	0.019281	0.012338	0.021668	0.012104	0.018737	0.030386	0.011170	0.028654	0.009313	0.023911	0.008926	0.006435	0.027309	0.037706	0.014905	0.017550
aveeod	0.029359	0.013693	0.019999	0.054186	0.038695	0.022856	0.024968	0.015074	0.036606	0.030225	0.025509	0.047364	0.007518	0.041424	0.020568	0.014887	0.040061	0.051257	0.018310	0.025867
