accuracy	0.783333	0.776667	0.736667	0.756667	0.726667	0.773333	0.726667	0.803333	0.793333	0.786667	0.750000	0.756667	0.733333	0.746667	0.746667	0.753333	0.763333	0.733333	0.760000	0.776667
recall	0.702076	0.648718	0.642017	0.652394	0.628460	0.665249	0.634370	0.715257	0.706349	0.670620	0.651084	0.664326	0.641746	0.640987	0.659314	0.646321	0.659594	0.634929	0.669118	0.687688
precision	0.738229	0.757746	0.719138	0.698418	0.693224	0.716189	0.721685	0.762741	0.770833	0.744000	0.738000	0.748491	0.705357	0.664858	0.716667	0.724000	0.740491	0.683956	0.742389	0.727092
f1score	0.714875	0.665396	0.650437	0.664887	0.635556	0.680030	0.638745	0.731717	0.724444	0.689200	0.662117	0.676986	0.650574	0.649425	0.670825	0.658651	0.674068	0.644444	0.682801	0.700888
mcc	0.438818	0.391568	0.352825	0.347780	0.315097	0.378021	0.345183	0.475634	0.472805	0.408075	0.379252	0.404147	0.341224	0.304913	0.371580	0.362082	0.391822	0.315093	0.404931	0.412904
spd0	0.084969	0.016509	0.006816	0.013148	0.002082	0.007023	0.061357	0.072777	0.011774	0.143223	0.084058	0.065000	0.064469	0.055304	0.030809	0.033376	0.071398	0.116831	0.002717	0.005853
aod0	0.023342	0.017977	0.002515	0.022792	0.029999	0.002765	0.036085	0.037215	0.058343	0.129262	0.056560	0.044110	0.083116	0.076170	0.012871	0.017354	0.034259	0.096209	0.072175	0.016263
eod0	0.044502	0.048268	0.039185	0.005902	0.043367	0.027652	0.011973	0.047807	0.044823	0.090311	0.007937	0.058650	0.008780	0.004902	0.018703	0.014414	0.008368	0.068609	0.003999	0.034916
spd1	0.143962	0.069526	0.003700	0.047717	0.045751	0.192928	0.068000	0.051587	0.093521	0.113993	0.040816	0.073358	0.115509	0.093091	0.083747	0.034235	0.089519	0.091811	0.007797	0.158850
aod1	0.049322	0.023586	0.043066	0.022987	0.015656	0.140047	0.002511	0.061880	0.082261	0.069136	0.016236	0.048826	0.062686	0.045561	0.111643	0.002358	0.012508	0.113085	0.058643	0.071171
eod1	0.062930	0.010882	0.006386	0.034012	0.041823	0.087758	0.028831	0.008542	0.056862	0.017583	0.036416	0.041214	0.073897	0.076344	0.044657	0.003274	0.027247	0.008452	0.052874	0.150526
wcspd	0.201066	0.131356	0.036630	0.202778	0.063492	0.225443	0.133005	0.092833	0.205658	0.229464	0.094173	0.110944	0.144868	0.135684	0.178161	0.059989	0.108586	0.142285	0.104859	0.189286
wcaod	0.072208	0.077156	0.061389	0.293333	0.033310	0.151120	0.076768	0.132006	0.256746	0.163194	0.066856	0.084158	0.111072	0.122447	0.161396	0.055952	0.110806	0.140051	0.088088	0.112411
wceod	0.097948	0.133333	0.050272	0.170000	0.060163	0.146684	0.102564	0.153846	0.155556	0.122687	0.070833	0.086777	0.100999	0.181525	0.125000	0.016667	0.111111	0.094505	0.088889	0.246468
avespd	0.065743	0.036072	0.013311	0.061632	0.024730	0.097255	0.039896	0.041059	0.056664	0.074875	0.040078	0.041127	0.060226	0.039152	0.052985	0.025754	0.054639	0.060250	0.036070	0.079313
aveaod	0.021835	0.023394	0.019835	0.079403	0.015640	0.071067	0.020803	0.035424	0.074996	0.061873	0.023458	0.024477	0.051355	0.053265	0.062737	0.024059	0.041716	0.069440	0.039547	0.037978
aveeod	0.034694	0.041769	0.016735	0.047496	0.030105	0.051967	0.031824	0.046600	0.046934	0.042824	0.019524	0.030798	0.037216	0.048803	0.043105	0.007721	0.036527	0.035959	0.024350	0.078461
