accuracy	0.835119	0.835665	0.830205	0.832526	0.834164	0.839555	0.835529	0.831093	0.828909	0.834368	0.830137	0.837712	0.833208	0.831843	0.836620	0.836552	0.833208	0.830956	0.831570	0.833345
recall	0.677302	0.675988	0.677964	0.674370	0.678320	0.685745	0.681491	0.676457	0.671399	0.674145	0.670281	0.680480	0.676854	0.671062	0.682997	0.679646	0.682219	0.670736	0.672380	0.675793
precision	0.832153	0.848473	0.827555	0.835536	0.833753	0.848498	0.841949	0.834694	0.846521	0.840188	0.839066	0.834867	0.832618	0.833715	0.842612	0.842716	0.833350	0.845927	0.836834	0.839321
f1score	0.710171	0.709665	0.709427	0.706720	0.711034	0.720471	0.714914	0.708435	0.703028	0.707141	0.702024	0.714099	0.709278	0.703102	0.716719	0.713367	0.714651	0.702900	0.704491	0.708519
mcc	0.485352	0.495287	0.482879	0.483767	0.487914	0.508848	0.498239	0.486043	0.487415	0.486794	0.480569	0.491678	0.485077	0.477853	0.500787	0.496256	0.492921	0.486055	0.481927	0.488469
spd0	0.083972	0.075249	0.081722	0.074892	0.072426	0.071754	0.074689	0.079319	0.069762	0.070877	0.075204	0.074414	0.076218	0.071981	0.077458	0.079621	0.082668	0.071965	0.070725	0.072107
aod0	0.026682	0.023011	0.019214	0.010709	0.006219	0.004070	0.008263	0.018400	0.003177	0.007376	0.012193	0.020091	0.019513	0.009126	0.007242	0.008055	0.019164	0.007054	0.002795	0.004453
eod0	0.042646	0.041539	0.029732	0.012953	0.009516	0.010846	0.014190	0.032027	0.003963	0.009488	0.018165	0.037689	0.031723	0.016552	0.007487	0.008066	0.033734	0.008137	0.010330	0.003760
spd1	0.046853	0.052880	0.048702	0.050354	0.046767	0.044683	0.053963	0.047855	0.048440	0.051944	0.043858	0.052763	0.055884	0.043601	0.045518	0.043585	0.046345	0.038959	0.049113	0.054984
aod1	0.011930	0.030691	0.008350	0.024674	0.025707	0.006403	0.021748	0.021410	0.009998	0.021685	0.004264	0.019546	0.025808	0.021119	0.006552	0.003675	0.007569	0.011530	0.010531	0.032707
eod1	0.010698	0.050762	0.003859	0.037257	0.041409	0.004938	0.032479	0.029470	0.006266	0.032197	0.022819	0.027536	0.036110	0.038813	0.024921	0.020584	0.004622	0.034630	0.008394	0.049191
wcspd	0.114175	0.102678	0.101495	0.105091	0.099127	0.094998	0.107324	0.111978	0.098966	0.096713	0.097966	0.099407	0.105798	0.097797	0.101225	0.101031	0.113367	0.098875	0.095780	0.109386
wcaod	0.068246	0.043909	0.022896	0.043982	0.028206	0.036645	0.026381	0.077313	0.033523	0.023633	0.023969	0.030090	0.042091	0.050358	0.030377	0.016353	0.058306	0.051216	0.017051	0.032818
wceod	0.122947	0.073366	0.039776	0.066912	0.045581	0.079197	0.060484	0.138320	0.056042	0.034327	0.047501	0.064189	0.065355	0.093620	0.066711	0.041275	0.111048	0.097383	0.035287	0.050846
avespd	0.043080	0.042943	0.043317	0.041640	0.039926	0.038723	0.043552	0.042055	0.038650	0.041382	0.038455	0.043132	0.044746	0.038099	0.040714	0.040707	0.041278	0.036079	0.039933	0.043150
aveaod	0.021475	0.020762	0.008148	0.015082	0.012153	0.011428	0.008738	0.022005	0.008800	0.011272	0.008691	0.013926	0.018229	0.015358	0.008786	0.005423	0.017985	0.013164	0.005472	0.015460
aveeod	0.038964	0.036176	0.013067	0.023339	0.019421	0.025622	0.020680	0.037339	0.015177	0.016532	0.015564	0.028199	0.028099	0.029148	0.020629	0.014408	0.033723	0.025529	0.010692	0.022997
