accuracy	0.861866	0.865024	0.862076	0.856601	0.858497	0.861023	0.861866	0.854075	0.859128	0.859971	0.862919	0.863761	0.863129	0.858075	0.866077	0.858075	0.855970	0.863340	0.865656	0.854496
recall	0.662397	0.675958	0.667760	0.663259	0.668332	0.662651	0.667742	0.658408	0.666454	0.671864	0.673486	0.682068	0.678208	0.658731	0.678053	0.660257	0.671095	0.678405	0.667073	0.669874
precision	0.770080	0.788463	0.777233	0.770470	0.757835	0.770740	0.763571	0.755205	0.788661	0.765082	0.771224	0.783456	0.781775	0.777483	0.771567	0.764053	0.772437	0.765932	0.777895	0.756346
f1score	0.694086	0.709651	0.700123	0.694363	0.697014	0.694329	0.697833	0.687340	0.700141	0.701544	0.704338	0.714094	0.710356	0.691216	0.708626	0.690800	0.701737	0.707576	0.699989	0.697736
mcc	0.418856	0.450588	0.431317	0.420270	0.416663	0.419696	0.420533	0.402127	0.438400	0.426887	0.433837	0.454349	0.448172	0.419739	0.439787	0.411419	0.431799	0.435631	0.430946	0.417356
spd0	0.041195	0.051747	0.041192	0.047872	0.014835	0.026162	0.038922	0.032347	0.030458	0.034244	0.042282	0.045872	0.032658	0.026476	0.031210	0.040000	0.039888	0.035537	0.033049	0.045153
aod0	0.010403	0.013413	0.021403	0.018054	0.022800	0.006262	0.000479	0.003059	0.003445	0.003355	0.001734	0.027273	0.008827	0.001139	0.002960	0.004946	0.015383	0.011953	0.003440	0.032427
eod0	0.001463	0.001188	0.028649	0.009582	0.045464	0.023041	0.011878	0.009668	0.015512	0.004625	0.025275	0.039027	0.025273	0.006816	0.013505	0.013528	0.018713	0.014991	0.016426	0.048555
spd1	0.017874	0.018390	0.012512	0.023078	0.033690	0.026844	0.007442	0.024942	0.031418	0.024548	0.015619	0.035089	0.008638	0.029128	0.018725	0.023086	0.018195	0.018391	0.023231	0.013809
aod1	0.004686	0.003577	0.004995	0.026439	0.043333	0.027835	0.020754	0.023629	0.042678	0.031962	0.002673	0.015583	0.002801	0.033081	0.020290	0.024761	0.021316	0.006321	0.013520	0.005569
eod1	0.020303	0.005911	0.006086	0.053048	0.073855	0.051552	0.040196	0.045327	0.081469	0.063996	0.010993	0.017499	0.013724	0.054449	0.038965	0.042696	0.042907	0.017432	0.020031	0.017510
wcspd	0.066876	0.070494	0.062155	0.074834	0.051982	0.056199	0.052826	0.058056	0.066971	0.062460	0.063451	0.086669	0.048590	0.057986	0.054889	0.066266	0.065906	0.053845	0.058899	0.055055
wcaod	0.047922	0.026030	0.069117	0.082069	0.085396	0.056262	0.033768	0.031953	0.079524	0.065934	0.019417	0.060528	0.070062	0.060533	0.072472	0.031851	0.084316	0.028381	0.032592	0.047403
wceod	0.064103	0.027142	0.113596	0.168889	0.166433	0.112635	0.063961	0.060987	0.149024	0.138242	0.039675	0.090561	0.140393	0.104678	0.145625	0.062839	0.167344	0.046276	0.053017	0.075352
avespd	0.023757	0.025778	0.023250	0.025153	0.017273	0.015245	0.021311	0.016904	0.017578	0.018303	0.023399	0.025355	0.018353	0.015916	0.017544	0.020797	0.022641	0.017468	0.017439	0.020406
aveaod	0.013220	0.008634	0.018206	0.024831	0.027410	0.017263	0.010059	0.012645	0.025381	0.021066	0.007571	0.018871	0.026686	0.019058	0.019875	0.009921	0.025001	0.008560	0.008675	0.013467
aveeod	0.022849	0.008153	0.029173	0.044681	0.052162	0.034335	0.018618	0.024167	0.048626	0.042069	0.012842	0.028761	0.049625	0.032122	0.040987	0.019860	0.046634	0.014163	0.016390	0.024574
