accuracy	0.816556	0.808222	0.813000	0.818222	0.805556	0.805778	0.804889	0.811889	0.811667	0.812000	0.810556	0.808444	0.810556	0.809444	0.804778	0.811111	0.809667	0.818333	0.805111	0.816556
recall	0.609063	0.604036	0.613502	0.610181	0.605286	0.600458	0.599056	0.612546	0.611997	0.612238	0.610670	0.614658	0.608631	0.604581	0.608975	0.610522	0.603737	0.625747	0.611517	0.615600
precision	0.771757	0.760256	0.770438	0.766552	0.758183	0.770611	0.762527	0.759866	0.770353	0.759102	0.772306	0.761108	0.770213	0.763585	0.766624	0.766127	0.770465	0.773799	0.770545	0.760052
f1score	0.628777	0.620719	0.633445	0.630613	0.621730	0.615171	0.613409	0.632164	0.631281	0.631822	0.629331	0.633937	0.626831	0.621614	0.625943	0.629404	0.620402	0.649225	0.629088	0.636863
mcc	0.344317	0.329095	0.350402	0.342748	0.329746	0.329758	0.322520	0.342035	0.348015	0.341063	0.347194	0.346052	0.342657	0.332061	0.340912	0.343004	0.335006	0.371104	0.347392	0.346768
spd0	0.011147	0.015742	0.005608	0.007690	0.011265	0.020179	0.005550	0.011402	0.010164	0.015324	0.006752	0.014118	0.016600	0.010003	0.002225	0.015540	0.009383	0.013869	0.006006	0.011812
aod0	0.007987	0.005103	0.010977	0.007154	0.006512	0.018039	0.011210	0.006922	0.002678	0.003985	0.003601	0.005571	0.010517	0.000311	0.013219	0.003107	0.004647	0.006396	0.005308	0.003808
eod0	0.010665	0.001305	0.028678	0.017673	0.005252	0.028895	0.030381	0.027249	0.000813	0.004389	0.010508	0.002514	0.014009	0.006587	0.030586	0.020844	0.014642	0.003087	0.015654	0.001617
spd1	0.052678	0.045017	0.041188	0.040770	0.060304	0.051295	0.041703	0.025018	0.042762	0.046803	0.044910	0.065039	0.053206	0.048427	0.031705	0.037783	0.040086	0.052796	0.036337	0.053730
aod1	0.044799	0.043708	0.045139	0.030668	0.061614	0.045573	0.026695	0.022037	0.035831	0.038509	0.036985	0.075660	0.042872	0.043573	0.019366	0.035342	0.026490	0.038362	0.031399	0.038235
eod1	0.051785	0.065476	0.077440	0.039558	0.097037	0.066876	0.025509	0.023712	0.049455	0.053034	0.054121	0.113212	0.051138	0.063115	0.014226	0.060061	0.017971	0.052632	0.049465	0.033570
wcspd	0.063516	0.062383	0.046624	0.049824	0.069003	0.064043	0.052605	0.035039	0.049267	0.059652	0.052792	0.094335	0.082760	0.057997	0.042198	0.049637	0.046193	0.071347	0.040585	0.097620
wcaod	0.056453	0.058213	0.062497	0.048691	0.069754	0.067921	0.055232	0.028569	0.039822	0.054493	0.045955	0.088228	0.053044	0.048614	0.047589	0.050603	0.039901	0.049201	0.042305	0.085493
wceod	0.074485	0.085180	0.118395	0.075777	0.115942	0.105920	0.092308	0.050226	0.056020	0.079119	0.070115	0.117416	0.069383	0.093277	0.083871	0.095649	0.091386	0.082972	0.076588	0.108095
avespd	0.028348	0.026508	0.020150	0.019753	0.031592	0.028687	0.021931	0.015359	0.022901	0.024691	0.021764	0.036973	0.031991	0.025926	0.012952	0.020833	0.021415	0.029783	0.018330	0.032896
aveaod	0.021782	0.023301	0.018599	0.013748	0.029609	0.024232	0.018881	0.009904	0.017110	0.016171	0.015619	0.038854	0.023697	0.022156	0.014169	0.013877	0.010767	0.019155	0.012918	0.025732
aveeod	0.023350	0.035336	0.030308	0.021504	0.043456	0.035787	0.028025	0.017382	0.023012	0.021814	0.022669	0.056359	0.025955	0.035462	0.027124	0.026059	0.024230	0.021889	0.020840	0.027529
