accuracy	0.863340	0.863340	0.858075	0.853022	0.859339	0.861234	0.858918	0.853022	0.856601	0.859339	0.862287	0.861023	0.857654	0.855127	0.867340	0.856180	0.858286	0.860813	0.861023	0.857233
recall	0.649189	0.659451	0.647696	0.634068	0.652365	0.652329	0.647138	0.642233	0.650611	0.654704	0.652140	0.653129	0.653255	0.643132	0.663922	0.635464	0.660026	0.653585	0.648488	0.658586
precision	0.785624	0.794069	0.773373	0.775560	0.768528	0.778176	0.761950	0.758879	0.791037	0.771580	0.781789	0.793659	0.775650	0.775925	0.784589	0.771355	0.789642	0.768239	0.769559	0.771631
f1score	0.683452	0.694603	0.679922	0.665197	0.684113	0.685484	0.678165	0.672232	0.684387	0.686757	0.685850	0.687897	0.685627	0.675113	0.698247	0.666869	0.693939	0.685427	0.680666	0.690218
mcc	0.412854	0.433080	0.401876	0.384415	0.404545	0.411699	0.392646	0.383776	0.418728	0.409948	0.414108	0.424112	0.411070	0.397460	0.431974	0.383451	0.430582	0.405944	0.400131	0.415099
spd0	0.034293	0.047841	0.040487	0.038008	0.019423	0.034787	0.041745	0.029531	0.033335	0.034832	0.044979	0.039045	0.034897	0.031981	0.035143	0.030584	0.042887	0.043427	0.034500	0.043155
aod0	0.002389	0.007927	0.015062	0.017265	0.020065	0.012202	0.021277	0.004071	0.000730	0.003837	0.006188	0.014977	0.001948	0.005871	0.009872	0.001988	0.029154	0.029290	0.003606	0.032325
eod0	0.025527	0.010768	0.009532	0.015902	0.048629	0.007864	0.029314	0.006116	0.016835	0.008103	0.014870	0.012316	0.008310	0.006263	0.009059	0.012065	0.045956	0.040732	0.005807	0.048929
spd1	0.004524	0.014685	0.002279	0.010152	0.015501	0.018996	0.001594	0.017329	0.017352	0.013503	0.000894	0.017343	0.007276	0.019720	0.012712	0.009413	0.015559	0.006254	0.019837	0.001910
aod1	0.007093	0.002390	0.019546	0.005960	0.012115	0.019504	0.039565	0.008106	0.012207	0.017649	0.018739	0.002920	0.003935	0.017205	0.000946	0.000184	0.015761	0.018733	0.015674	0.026748
eod1	0.008245	0.005553	0.029661	0.017688	0.022199	0.041146	0.080029	0.016047	0.024671	0.042874	0.031206	0.006748	0.003630	0.027475	0.000873	0.000199	0.031887	0.033529	0.027842	0.045957
wcspd	0.057687	0.059600	0.058802	0.050326	0.039220	0.055435	0.049399	0.045774	0.056329	0.051920	0.061501	0.061015	0.044292	0.055148	0.055365	0.045573	0.065753	0.051279	0.052598	0.045950
wcaod	0.044103	0.012275	0.042081	0.046022	0.047305	0.037410	0.057049	0.016354	0.060062	0.038577	0.026802	0.022655	0.048432	0.048447	0.073352	0.020907	0.086620	0.045469	0.022207	0.055328
wceod	0.068333	0.022494	0.052278	0.075911	0.096642	0.060870	0.102083	0.037559	0.118014	0.087394	0.065107	0.018235	0.082015	0.084064	0.134958	0.025842	0.157128	0.070743	0.038463	0.088024
avespd	0.020073	0.022445	0.022516	0.019582	0.011259	0.017821	0.021890	0.014321	0.018672	0.018537	0.024475	0.021479	0.018150	0.017344	0.020203	0.017154	0.023892	0.019864	0.016845	0.020945
aveaod	0.016114	0.004741	0.013116	0.013349	0.014562	0.011368	0.018093	0.005496	0.018350	0.011813	0.011366	0.008421	0.016547	0.013999	0.021852	0.006709	0.023835	0.015550	0.006730	0.018031
aveeod	0.029711	0.007202	0.016717	0.021756	0.031281	0.022550	0.036994	0.011267	0.035752	0.027263	0.019608	0.006701	0.032045	0.022785	0.043321	0.010171	0.043544	0.024926	0.011525	0.029948
