accuracy	0.817778	0.809333	0.812000	0.817889	0.804667	0.806556	0.804444	0.812000	0.810778	0.811667	0.809444	0.808667	0.810111	0.808889	0.805000	0.810222	0.810111	0.817444	0.803333	0.815111
recall	0.612833	0.606179	0.610887	0.609397	0.603491	0.602003	0.600342	0.615516	0.609468	0.610389	0.607487	0.616544	0.606036	0.602610	0.609458	0.608341	0.604736	0.622996	0.608347	0.611488
precision	0.773155	0.763456	0.768734	0.765744	0.755807	0.772768	0.757750	0.756792	0.769187	0.759731	0.770983	0.759783	0.771884	0.763363	0.767115	0.764338	0.771511	0.772922	0.765565	0.757524
f1score	0.633707	0.623614	0.630017	0.629578	0.619312	0.617304	0.615148	0.635802	0.627954	0.629475	0.625103	0.636279	0.623406	0.618970	0.626588	0.626518	0.621761	0.645818	0.624830	0.631606
mcc	0.351117	0.334505	0.345248	0.341008	0.325415	0.333605	0.321641	0.344462	0.343321	0.338652	0.341334	0.348002	0.339585	0.328777	0.341981	0.338459	0.337266	0.366433	0.339253	0.338886
spd0	0.010631	0.015568	0.007540	0.009171	0.009608	0.022026	0.006191	0.015010	0.009487	0.014891	0.006889	0.015392	0.017909	0.011017	0.004168	0.015536	0.010500	0.015428	0.008869	0.014296
aod0	0.007133	0.004501	0.007648	0.005921	0.004036	0.020786	0.010029	0.001702	0.001397	0.004458	0.001884	0.007485	0.013432	0.001808	0.009141	0.002287	0.003811	0.009005	0.001931	0.008828
eod0	0.009495	0.000242	0.023086	0.017003	0.001137	0.033551	0.028040	0.018747	0.001844	0.002471	0.006227	0.005828	0.019532	0.002682	0.022430	0.018834	0.014177	0.007371	0.011623	0.010731
spd1	0.058107	0.053655	0.044120	0.039813	0.063750	0.046788	0.040359	0.035662	0.047125	0.048622	0.044391	0.073246	0.051812	0.048665	0.036888	0.040385	0.039598	0.054741	0.034562	0.050829
aod1	0.057030	0.054410	0.049305	0.030655	0.066851	0.041241	0.022675	0.045289	0.045622	0.039869	0.036367	0.089433	0.042874	0.045502	0.025765	0.040496	0.027078	0.042103	0.030890	0.033022
eod1	0.078820	0.081081	0.083638	0.041336	0.105778	0.063519	0.015735	0.070852	0.070386	0.052825	0.052260	0.138530	0.053497	0.068214	0.023317	0.070213	0.020989	0.059497	0.050986	0.022528
wcspd	0.075297	0.075370	0.049108	0.048962	0.069474	0.058609	0.050353	0.055651	0.055450	0.061310	0.051224	0.110445	0.077293	0.059867	0.046679	0.050872	0.046193	0.074011	0.039410	0.096459
wcaod	0.064960	0.071228	0.063766	0.047577	0.075272	0.063810	0.051106	0.047692	0.048378	0.055347	0.043982	0.108178	0.053405	0.052493	0.047943	0.053711	0.041974	0.054265	0.040920	0.083481
wceod	0.094945	0.098719	0.120933	0.075777	0.124850	0.104888	0.086058	0.083963	0.075125	0.077492	0.063024	0.146304	0.079682	0.095783	0.096774	0.100575	0.098581	0.092072	0.073830	0.106874
avespd	0.031659	0.031039	0.022455	0.019855	0.032441	0.027497	0.021330	0.022381	0.025035	0.025428	0.021860	0.042077	0.031116	0.026472	0.016367	0.022357	0.021491	0.031113	0.018587	0.032304
aveaod	0.027916	0.029031	0.020960	0.013427	0.031501	0.023317	0.016985	0.022887	0.022386	0.017077	0.015886	0.046486	0.023962	0.023199	0.013250	0.017008	0.010878	0.021588	0.012958	0.023220
aveeod	0.036735	0.042797	0.033222	0.021588	0.047255	0.035584	0.026400	0.033962	0.033964	0.020068	0.022850	0.069088	0.027903	0.037898	0.027616	0.028970	0.025856	0.025018	0.019798	0.027920
