accuracy	0.811222	0.801889	0.805667	0.811000	0.797333	0.796000	0.798444	0.804444	0.802889	0.805667	0.802667	0.801333	0.800889	0.801222	0.798222	0.802000	0.803556	0.809667	0.797000	0.810222
recall	0.586038	0.577821	0.584216	0.578690	0.574858	0.570870	0.576014	0.586215	0.581978	0.585284	0.580218	0.587754	0.575766	0.574545	0.583374	0.577482	0.580016	0.591826	0.583090	0.585843
precision	0.778848	0.765885	0.777345	0.773824	0.758574	0.761810	0.762808	0.754913	0.768006	0.762847	0.780793	0.762013	0.767935	0.763467	0.774201	0.766104	0.776290	0.778497	0.774466	0.766996
f1score	0.596831	0.583223	0.592824	0.586577	0.578058	0.571560	0.579811	0.596357	0.589351	0.595003	0.586120	0.597329	0.579838	0.578388	0.589707	0.582750	0.586309	0.604395	0.588941	0.596786
mcc	0.309784	0.287691	0.305659	0.293580	0.278254	0.272430	0.282681	0.296495	0.296449	0.299443	0.300165	0.303267	0.284959	0.280287	0.302399	0.287182	0.297372	0.319833	0.302029	0.302785
spd0	0.012318	0.011392	0.006835	0.009684	0.007152	0.016119	0.006452	0.007462	0.011650	0.014310	0.007204	0.010546	0.013124	0.012144	0.003292	0.013051	0.007263	0.011562	0.009670	0.009199
aod0	0.012411	0.004838	0.006894	0.002828	0.001131	0.014427	0.007483	0.010483	0.007991	0.006612	0.003540	0.003336	0.008511	0.009563	0.005259	0.000541	0.003234	0.007252	0.004216	0.003258
eod0	0.019138	0.004596	0.022643	0.013768	0.011081	0.021738	0.024202	0.033181	0.009966	0.001912	0.005619	0.000245	0.010257	0.013827	0.012389	0.013942	0.010342	0.006909	0.002146	0.001633
spd1	0.037839	0.032224	0.038404	0.022309	0.033523	0.026663	0.032775	0.022339	0.032202	0.026914	0.027941	0.046930	0.030258	0.032584	0.028137	0.030261	0.033212	0.037422	0.022586	0.029672
aod1	0.034280	0.033576	0.048639	0.020335	0.030349	0.023778	0.020996	0.024571	0.030581	0.014785	0.020185	0.064316	0.019285	0.027457	0.019161	0.032694	0.026403	0.028502	0.021174	0.017877
eod1	0.045273	0.054858	0.087939	0.037840	0.046229	0.041551	0.019475	0.034339	0.048059	0.012965	0.028047	0.111837	0.016701	0.037701	0.016216	0.059109	0.027479	0.042715	0.039769	0.013843
wcspd	0.044304	0.049830	0.044767	0.035470	0.047217	0.046673	0.039497	0.027924	0.038729	0.041959	0.035491	0.054174	0.038952	0.056349	0.037777	0.038370	0.045244	0.044916	0.029104	0.050983
wcaod	0.048976	0.052217	0.062841	0.023909	0.045338	0.036478	0.042605	0.037193	0.036194	0.054450	0.025260	0.080404	0.030705	0.056948	0.038637	0.038269	0.033762	0.045242	0.025388	0.044648
wceod	0.072169	0.084202	0.123982	0.050205	0.077142	0.057585	0.079519	0.072788	0.056465	0.113095	0.037902	0.142148	0.042831	0.101614	0.065509	0.075534	0.060859	0.081307	0.042242	0.076368
avespd	0.020931	0.019670	0.019054	0.014085	0.018931	0.018233	0.017451	0.011918	0.018313	0.014234	0.014008	0.024358	0.017971	0.020931	0.011926	0.017847	0.018525	0.020166	0.013411	0.018388
aveaod	0.017658	0.019044	0.020381	0.009443	0.017369	0.015416	0.014555	0.009734	0.016174	0.016991	0.009251	0.028619	0.010645	0.017914	0.010547	0.015007	0.012249	0.013494	0.010278	0.012594
aveeod	0.022662	0.031336	0.035656	0.018501	0.027267	0.025283	0.023184	0.025116	0.024560	0.031895	0.015101	0.048605	0.015046	0.027382	0.017911	0.026813	0.016760	0.025176	0.019589	0.020475
