accuracy	0.733333	0.726667	0.733333	0.760000	0.736667	0.726667	0.743333	0.810000	0.746667	0.766667	0.776667	0.723333	0.736667	0.733333	0.730000	0.766667	0.750000	0.730000	0.770000	0.766667
recall	0.667029	0.644968	0.675411	0.693844	0.686989	0.652159	0.674856	0.742185	0.695238	0.694898	0.713854	0.655334	0.667862	0.664471	0.671875	0.704431	0.680288	0.668896	0.717831	0.712722
precision	0.671962	0.659531	0.696770	0.702904	0.697363	0.654545	0.724899	0.765716	0.697792	0.704652	0.751794	0.682222	0.700531	0.659430	0.686886	0.725918	0.704444	0.679446	0.736855	0.712722
f1score	0.669312	0.650568	0.682540	0.697919	0.691306	0.653306	0.685110	0.752084	0.696469	0.699295	0.726005	0.662926	0.676931	0.661762	0.677543	0.712722	0.688844	0.673277	0.725315	0.712722
mcc	0.338955	0.304151	0.371567	0.396645	0.384212	0.306695	0.396610	0.507356	0.393021	0.399431	0.464100	0.336484	0.366942	0.323862	0.358447	0.429813	0.383974	0.348182	0.454288	0.425445
spd0	0.052590	0.004717	0.000479	0.038462	0.023564	0.091923	0.036911	0.075513	0.066130	0.164631	0.116912	0.045000	0.050549	0.078665	0.026444	0.026187	0.024451	0.107629	0.024247	0.001045
aod0	0.006260	0.013487	0.037484	0.005569	0.015012	0.067417	0.005723	0.051014	0.037504	0.112223	0.061872	0.048437	0.077420	0.041921	0.003953	0.048249	0.015885	0.098747	0.054106	0.055952
eod0	0.032215	0.041991	0.049795	0.012105	0.085842	0.089291	0.035646	0.022807	0.008207	0.158892	0.026984	0.011549	0.046313	0.086601	0.019871	0.095495	0.054827	0.007519	0.006997	0.001597
spd1	0.081722	0.128655	0.033050	0.137295	0.002195	0.142680	0.184000	0.160714	0.118189	0.156170	0.187755	0.178761	0.250154	0.164813	0.084057	0.103732	0.115863	0.060794	0.156595	0.230229
aod1	0.000722	0.078885	0.006677	0.129989	0.093498	0.066530	0.097922	0.028265	0.075483	0.097506	0.123757	0.150415	0.177365	0.124980	0.055100	0.039523	0.002724	0.013475	0.057560	0.132040
eod1	0.018685	0.093253	0.007024	0.075767	0.024944	0.146324	0.135844	0.151458	0.144754	0.070013	0.107514	0.165487	0.286765	0.113671	0.090377	0.100675	0.056786	0.109533	0.190805	0.223158
wcspd	0.130891	0.211180	0.042986	0.272222	0.064270	0.182123	0.293103	0.208033	0.168284	0.280179	0.281359	0.209115	0.294682	0.227494	0.089584	0.238390	0.205260	0.158522	0.187627	0.271429
wcaod	0.071528	0.156761	0.039871	0.347176	0.123194	0.134066	0.182432	0.098291	0.080953	0.170139	0.197026	0.164487	0.217468	0.200412	0.068934	0.248810	0.091270	0.138197	0.113662	0.217782
wceod	0.039903	0.214286	0.062319	0.200000	0.106687	0.248901	0.286713	0.239510	0.262903	0.197910	0.112000	0.257703	0.413984	0.162505	0.154583	0.288889	0.145299	0.318681	0.272436	0.326787
avespd	0.034866	0.062439	0.015959	0.084045	0.019021	0.080877	0.092621	0.082039	0.067299	0.089044	0.098241	0.087444	0.125186	0.072927	0.040421	0.062955	0.053209	0.071318	0.081219	0.117635
aveaod	0.030269	0.043639	0.018427	0.101238	0.044918	0.045276	0.047551	0.033627	0.034417	0.051671	0.059342	0.074767	0.079100	0.059351	0.025319	0.066701	0.034283	0.037679	0.040297	0.083678
aveeod	0.018066	0.055670	0.022090	0.053953	0.037340	0.094207	0.078353	0.077896	0.069694	0.078514	0.051958	0.090252	0.144522	0.064226	0.046458	0.075654	0.045442	0.093699	0.093903	0.108482
