accuracy	0.862708	0.863761	0.860181	0.851337	0.860602	0.862287	0.860602	0.854075	0.859339	0.858707	0.863971	0.859971	0.858707	0.858286	0.866498	0.857023	0.860181	0.862287	0.863761	0.857865
recall	0.654346	0.663578	0.655340	0.635417	0.657617	0.655450	0.650693	0.648210	0.657815	0.657284	0.657146	0.654406	0.656296	0.654095	0.665984	0.643362	0.669498	0.661055	0.658288	0.665680
precision	0.778621	0.792444	0.777375	0.766207	0.770690	0.780676	0.767078	0.759935	0.797405	0.767472	0.785750	0.787342	0.778086	0.781840	0.779603	0.769530	0.790149	0.770098	0.775330	0.770024
f1score	0.687710	0.698491	0.688198	0.665673	0.689570	0.688979	0.682465	0.678385	0.692722	0.688595	0.691468	0.688380	0.689021	0.687237	0.699344	0.675011	0.703349	0.692894	0.691211	0.696659
mcc	0.414749	0.437435	0.415150	0.379731	0.413112	0.417760	0.401232	0.392556	0.433289	0.410215	0.423814	0.421272	0.416960	0.416798	0.430858	0.393143	0.443530	0.417137	0.417523	0.423025
spd0	0.038492	0.052617	0.047061	0.040100	0.020902	0.034294	0.045083	0.032201	0.034342	0.036708	0.049057	0.045115	0.033521	0.040201	0.040919	0.037593	0.047664	0.052009	0.039693	0.047132
aod0	0.002126	0.018657	0.026647	0.018038	0.014368	0.011524	0.022235	0.005691	0.006039	0.007382	0.014507	0.025801	0.002442	0.022662	0.012861	0.015298	0.032094	0.046679	0.007377	0.034435
eod0	0.019531	0.009666	0.030132	0.014983	0.035714	0.007523	0.027710	0.004910	0.000289	0.001555	0.000755	0.030413	0.004265	0.025338	0.008368	0.012084	0.048318	0.072450	0.001818	0.049701
spd1	0.014335	0.020080	0.006417	0.016814	0.022130	0.024371	0.007886	0.021825	0.020860	0.018239	0.007196	0.024294	0.013585	0.028954	0.019030	0.019584	0.020332	0.011332	0.024028	0.008920
aod1	0.011480	0.008603	0.008501	0.015675	0.022265	0.028631	0.019372	0.018009	0.021878	0.032151	0.009428	0.011558	0.007965	0.037808	0.013382	0.019062	0.023469	0.004184	0.024165	0.010942
eod1	0.023495	0.014081	0.007627	0.032015	0.037960	0.056036	0.039593	0.034596	0.044408	0.071764	0.017021	0.018681	0.016790	0.065990	0.020550	0.032154	0.044922	0.004530	0.043655	0.016426
wcspd	0.060357	0.068878	0.062502	0.058996	0.046797	0.060612	0.057964	0.052606	0.059876	0.059622	0.059555	0.072024	0.047938	0.072486	0.064491	0.061938	0.075474	0.062446	0.061326	0.054058
wcaod	0.060326	0.024851	0.053057	0.048816	0.051752	0.050143	0.039782	0.026977	0.062266	0.062512	0.026085	0.036240	0.041702	0.078617	0.066816	0.041606	0.096049	0.057492	0.033612	0.042227
wceod	0.118333	0.023552	0.072780	0.080393	0.100971	0.084058	0.063957	0.051448	0.122381	0.131356	0.058656	0.045058	0.082865	0.134162	0.122424	0.056054	0.174570	0.091796	0.059469	0.063402
avespd	0.022026	0.024433	0.025472	0.020586	0.012551	0.017713	0.023675	0.016705	0.018777	0.019926	0.025780	0.023632	0.016931	0.021395	0.022115	0.020258	0.026303	0.023581	0.019952	0.022331
aveaod	0.018846	0.008949	0.017322	0.013441	0.015901	0.016092	0.012789	0.008408	0.016941	0.020290	0.010370	0.012497	0.013281	0.022260	0.019681	0.011039	0.027347	0.019148	0.011053	0.013902
aveeod	0.036346	0.008635	0.021940	0.022040	0.032113	0.031459	0.019514	0.014293	0.031603	0.044149	0.015451	0.017647	0.026008	0.039493	0.038615	0.018408	0.049952	0.028403	0.018365	0.020993
