accuracy	0.737869	0.719238	0.775473	0.766464	0.759503	0.772402	0.762984	0.761482	0.737392	0.776565	0.749062	0.766805	0.784959	0.726745	0.751655	0.760663	0.755477	0.775541	0.767897	0.733570
recall	0.758115	0.754017	0.755382	0.746500	0.755575	0.762773	0.762786	0.761212	0.753852	0.753965	0.752987	0.745636	0.757802	0.752338	0.752864	0.753548	0.761614	0.763778	0.754601	0.753204
precision	0.693423	0.688042	0.712469	0.701953	0.701697	0.711510	0.707622	0.707118	0.695886	0.710109	0.697449	0.699319	0.717763	0.688214	0.697690	0.701205	0.704466	0.715579	0.706362	0.691471
f1score	0.698208	0.685599	0.725207	0.714223	0.712912	0.724462	0.718914	0.718104	0.700822	0.723258	0.706356	0.711959	0.730973	0.689666	0.707338	0.712759	0.714037	0.728561	0.718776	0.695401
mcc	0.446880	0.437107	0.465879	0.446235	0.454087	0.471505	0.467162	0.465195	0.445987	0.461997	0.446999	0.442538	0.473876	0.435860	0.447163	0.451730	0.462564	0.476928	0.458432	0.440369
spd0	0.219562	0.197006	0.182716	0.073842	0.171266	0.175669	0.184879	0.215198	0.159870	0.115835	0.154440	0.185046	0.157890	0.159257	0.194067	0.110093	0.230779	0.182258	0.180178	0.133938
aod0	0.124145	0.113080	0.089343	0.009952	0.088717	0.100965	0.105221	0.127401	0.058537	0.034356	0.070921	0.112108	0.088070	0.069656	0.120497	0.020561	0.138672	0.108328	0.087512	0.046038
eod0	0.123950	0.122101	0.094689	0.005184	0.106325	0.135007	0.131905	0.143875	0.051964	0.052434	0.091017	0.132217	0.121262	0.081148	0.148242	0.036646	0.149971	0.142905	0.093437	0.056595
spd1	0.089897	0.128307	0.141770	0.142729	0.070347	0.115105	0.121702	0.030480	0.150638	0.030153	0.086475	0.029051	0.072384	0.144621	0.069258	0.017416	0.157537	0.105676	0.136462	0.038808
aod1	0.026174	0.066897	0.107494	0.114432	0.032207	0.057271	0.084935	0.012863	0.096438	0.019097	0.031314	0.026264	0.036229	0.093534	0.026751	0.066615	0.100166	0.067907	0.092104	0.013134
eod1	0.005077	0.051757	0.135335	0.143489	0.042543	0.049207	0.114394	0.007058	0.094153	0.010682	0.027749	0.029443	0.062642	0.092283	0.044383	0.063658	0.092467	0.091882	0.106672	0.019047
wcspd	0.320403	0.305321	0.237729	0.196473	0.189225	0.244589	0.226901	0.226690	0.249300	0.140656	0.200220	0.192972	0.224312	0.277859	0.210718	0.138684	0.389337	0.247362	0.276807	0.148755
wcaod	0.299727	0.196657	0.144831	0.181472	0.093681	0.138346	0.172807	0.143669	0.157901	0.109985	0.104922	0.147241	0.188473	0.195486	0.129248	0.096395	0.351738	0.235095	0.212351	0.088977
wceod	0.397783	0.201002	0.176695	0.261008	0.122075	0.159378	0.258287	0.158037	0.185118	0.127494	0.133902	0.173691	0.272998	0.238739	0.188110	0.144597	0.453430	0.368860	0.277029	0.153759
avespd	0.124656	0.106037	0.111133	0.078535	0.078214	0.096846	0.103867	0.095356	0.105597	0.047647	0.077357	0.083776	0.084264	0.103137	0.084819	0.052767	0.129496	0.094627	0.105054	0.063626
aveaod	0.099665	0.065805	0.074019	0.068681	0.043792	0.058385	0.076559	0.057388	0.061697	0.032777	0.038235	0.056003	0.064566	0.067272	0.055991	0.025934	0.106909	0.076822	0.073020	0.032685
aveeod	0.122312	0.074156	0.090567	0.092422	0.058523	0.072789	0.106907	0.066874	0.065566	0.036275	0.052165	0.068821	0.088662	0.082609	0.080277	0.043640	0.136161	0.116258	0.094687	0.049639
