accuracy	0.788166	0.785846	0.782980	0.784003	0.789326	0.789395	0.788234	0.787893	0.788234	0.785505	0.786324	0.795469	0.797584	0.786187	0.788780	0.789463	0.784140	0.793012	0.783253	0.788917	0.788136
recall	0.750052	0.758975	0.756710	0.757343	0.760304	0.760681	0.765665	0.754857	0.760036	0.754584	0.752748	0.750176	0.760305	0.760538	0.753556	0.762491	0.758587	0.763076	0.752934	0.752831	0.757322
precision	0.716260	0.718882	0.718002	0.717204	0.721602	0.721907	0.723615	0.721110	0.724825	0.716524	0.718775	0.721627	0.728532	0.719072	0.720069	0.722188	0.719201	0.727456	0.715631	0.719940	0.720621
f1score	0.728549	0.732144	0.730764	0.730354	0.734846	0.735158	0.737224	0.733229	0.737145	0.729487	0.730899	0.732853	0.740617	0.732591	0.732227	0.735715	0.732143	0.740170	0.728276	0.731973	0.733318
mcc	0.465086	0.476172	0.473131	0.472846	0.480350	0.481029	0.487469	0.474769	0.483581	0.469568	0.470297	0.470939	0.487804	0.477815	0.472440	0.483000	0.476162	0.489237	0.467078	0.471626	0.476520
spd0	0.209069	0.220167	0.209026	0.209611	0.199947	0.201821	0.236181	0.195062	0.253158	0.175247	0.232439	0.191396	0.204036	0.222393	0.194096	0.217074	0.215204	0.218542	0.225679	0.202971	0.211656
aod0	0.160470	0.185733	0.150780	0.163805	0.148759	0.147668	0.195677	0.130083	0.198845	0.121800	0.188844	0.156436	0.175135	0.170757	0.154852	0.165267	0.169276	0.170585	0.173097	0.161506	0.164469
eod0	0.221504	0.266627	0.204664	0.230260	0.211322	0.207531	0.275796	0.176316	0.256809	0.176226	0.259575	0.231964	0.265210	0.235370	0.231716	0.231251	0.244562	0.239459	0.231235	0.233191	0.231529
spd1	0.119682	0.124746	0.111838	0.100246	0.151914	0.116239	0.086204	0.123379	0.124146	0.124447	0.100325	0.100438	0.121951	0.119455	0.096910	0.100559	0.102926	0.090597	0.145044	0.106062	0.113355
aod1	0.065227	0.087266	0.074832	0.070638	0.130458	0.079534	0.043942	0.083386	0.076187	0.090055	0.057858	0.050688	0.091642	0.074896	0.045153	0.057587	0.059686	0.045664	0.107024	0.073836	0.073278
eod1	0.055275	0.109144	0.099364	0.101358	0.166877	0.102183	0.066717	0.091796	0.085527	0.119176	0.072897	0.056110	0.126867	0.086030	0.049146	0.071244	0.072756	0.058872	0.130224	0.097008	0.090929
wcspd	0.310149	0.281461	0.226620	0.227635	0.274084	0.240095	0.249682	0.273416	0.269854	0.211381	0.260378	0.230644	0.233696	0.271255	0.248464	0.244342	0.271031	0.277587	0.296311	0.264184	0.258114
wcaod	0.258046	0.228438	0.165811	0.176489	0.165951	0.160149	0.204565	0.217176	0.210764	0.135968	0.216931	0.167895	0.197505	0.218729	0.188056	0.175133	0.217085	0.246576	0.224504	0.198731	0.198725
wceod	0.338540	0.308959	0.219306	0.240378	0.236556	0.225998	0.283010	0.294539	0.264245	0.193233	0.307053	0.254065	0.301124	0.302654	0.267474	0.243240	0.307107	0.359972	0.282240	0.268710	0.274920
avespd	0.107730	0.113079	0.106649	0.101886	0.120255	0.105839	0.103805	0.106003	0.122508	0.101944	0.105371	0.096300	0.109488	0.112260	0.094593	0.104057	0.100874	0.107392	0.122575	0.101588	0.107210
aveaod	0.092603	0.099084	0.079177	0.083592	0.096922	0.078329	0.086258	0.084472	0.096984	0.074488	0.089939	0.068079	0.098501	0.092756	0.076243	0.078840	0.086668	0.098616	0.101611	0.086838	0.087500
aveeod	0.129309	0.144256	0.109089	0.122219	0.131569	0.108934	0.131421	0.116465	0.126718	0.103927	0.130987	0.095966	0.148707	0.130435	0.115375	0.112026	0.131947	0.141691	0.139004	0.129932	0.124999
