accuracy	0.666667	0.713333	0.710000	0.740000	0.716667	0.730000	0.696667	0.766667	0.736667	0.743333	0.693333	0.703333	0.706667	0.733333	0.723333	0.693333	0.733333	0.683333	0.693333	0.750000	0.716667
recall	0.602912	0.656488	0.657998	0.644323	0.661444	0.673473	0.637007	0.730831	0.669048	0.659823	0.601138	0.643110	0.642958	0.668538	0.661458	0.624268	0.662207	0.629181	0.661458	0.708208	0.654794
precision	0.598976	0.652381	0.668525	0.672668	0.672734	0.665131	0.657955	0.713479	0.683000	0.672410	0.636601	0.657293	0.660795	0.661012	0.678251	0.633028	0.682331	0.628409	0.653764	0.696499	0.662262
f1score	0.600618	0.654267	0.662053	0.653333	0.665841	0.668752	0.642253	0.720432	0.674625	0.665096	0.604788	0.647938	0.648544	0.664354	0.667428	0.627651	0.669312	0.628785	0.656699	0.701429	0.656210
mcc	0.201850	0.308841	0.326353	0.315721	0.333988	0.338501	0.294216	0.443971	0.351771	0.331994	0.235078	0.300067	0.303229	0.329464	0.339294	0.257147	0.343950	0.257588	0.315128	0.404537	0.316635
spd0	0.101452	0.118997	0.097556	0.125589	0.149408	0.060215	0.067994	0.017784	0.079278	0.028795	0.059993	0.070000	0.073260	0.159718	0.102439	0.184339	0.078027	0.066407	0.149038	0.091346	0.094082
aod0	0.142794	0.135240	0.099063	0.195378	0.211288	0.053831	0.109562	0.015102	0.143538	0.024440	0.088069	0.073721	0.042618	0.213763	0.117584	0.209393	0.136172	0.096805	0.243176	0.131528	0.124153
eod0	0.112648	0.130087	0.120328	0.089736	0.041806	0.112217	0.070476	0.065899	0.059343	0.037081	0.107937	0.108016	0.172520	0.132353	0.162946	0.206757	0.099913	0.095865	0.082844	0.112519	0.106064
spd1	0.212954	0.002166	0.145993	0.178571	0.215790	0.013337	0.056000	0.054563	0.013689	0.002422	0.137662	0.093485	0.035668	0.128806	0.047457	0.117426	0.107651	0.212159	0.197964	0.036289	0.100503
aod1	0.276810	0.061853	0.184955	0.218622	0.309418	0.065973	0.131926	0.180765	0.041848	0.064365	0.175369	0.145292	0.029700	0.215184	0.055100	0.176297	0.223954	0.268064	0.305261	0.141652	0.163620
eod1	0.251895	0.033651	0.175607	0.162921	0.177044	0.033935	0.091948	0.123125	0.071583	0.045396	0.161850	0.036338	0.054044	0.095392	0.090377	0.056272	0.171123	0.135227	0.019540	0.040000	0.101363
wcspd	0.250774	0.185961	0.239897	0.222222	0.299131	0.130370	0.106399	0.199134	0.197492	0.158654	0.202091	0.161236	0.110811	0.224894	0.131369	0.421053	0.162879	0.327141	0.245151	0.115119	0.204589
wcaod	0.339171	0.173817	0.281912	0.300000	0.399192	0.100130	0.181465	0.289740	0.231349	0.174559	0.249846	0.206599	0.063088	0.323668	0.131893	0.452381	0.241737	0.347103	0.347884	0.232022	0.253378
wceod	0.305970	0.155556	0.242188	0.177778	0.211382	0.245192	0.191176	0.209459	0.188889	0.088889	0.192000	0.144385	0.296337	0.188244	0.180051	0.333333	0.189189	0.307692	0.131868	0.307692	0.214364
avespd	0.101027	0.072927	0.082772	0.085764	0.108328	0.044191	0.047864	0.059602	0.061897	0.041391	0.065955	0.040574	0.039677	0.078121	0.053150	0.134438	0.070045	0.096111	0.110331	0.047827	0.072100
aveaod	0.126662	0.070391	0.094367	0.095902	0.142572	0.034046	0.092848	0.097601	0.086806	0.054290	0.080670	0.066104	0.028369	0.098727	0.054325	0.141229	0.107426	0.124501	0.141949	0.092534	0.091566
aveeod	0.127535	0.070278	0.105799	0.082817	0.087199	0.082727	0.054787	0.059714	0.052138	0.031640	0.096132	0.060053	0.110836	0.066859	0.083309	0.129167	0.098579	0.088774	0.056462	0.096173	0.082049
