accuracy	0.860602	0.865866	0.862497	0.857233	0.861445	0.861023	0.865235	0.852811	0.861234	0.859760	0.864393	0.859760	0.862287	0.858075	0.864182	0.859971	0.859339	0.866498	0.863550	0.856812
recall	0.651069	0.667754	0.661149	0.651316	0.660619	0.656183	0.665179	0.648904	0.663121	0.657425	0.664388	0.663373	0.667599	0.649680	0.661004	0.648094	0.663902	0.672194	0.654082	0.666960
precision	0.771473	0.798610	0.783398	0.781291	0.772384	0.774603	0.777910	0.754654	0.801330	0.771669	0.782319	0.779526	0.785348	0.784524	0.772948	0.779741	0.791068	0.780623	0.777157	0.765485
f1score	0.683374	0.703560	0.694852	0.684262	0.692728	0.688773	0.698204	0.678244	0.698697	0.689422	0.698011	0.696109	0.701184	0.683060	0.693477	0.681255	0.698022	0.705159	0.687381	0.696988
mcc	0.405024	0.447629	0.427408	0.412621	0.418331	0.414189	0.428509	0.389456	0.443411	0.413606	0.430859	0.427397	0.437374	0.412735	0.419265	0.407078	0.436836	0.439643	0.413303	0.421072
spd0	0.033394	0.045821	0.035609	0.039509	0.008143	0.026533	0.042097	0.033689	0.030325	0.026274	0.036784	0.036308	0.022507	0.028423	0.033783	0.030880	0.040533	0.040847	0.034439	0.043821
aod0	0.002631	0.014357	0.009522	0.015163	0.037475	0.003476	0.018648	0.011014	0.006534	0.006148	0.015620	0.009351	0.016845	0.006850	0.012104	0.002718	0.016093	0.022271	0.007230	0.029120
eod0	0.011442	0.010230	0.006061	0.012282	0.073319	0.017942	0.027094	0.006243	0.023834	0.019460	0.053463	0.004685	0.032654	0.002780	0.015885	0.008050	0.017798	0.031226	0.004496	0.041720
spd1	0.026304	0.023539	0.022778	0.026324	0.031635	0.030052	0.008906	0.035966	0.040629	0.031195	0.012719	0.037574	0.014563	0.032867	0.022819	0.019885	0.017465	0.021436	0.027678	0.021525
aod1	0.020851	0.019551	0.004539	0.028393	0.036361	0.036669	0.023683	0.043600	0.062832	0.041654	0.006173	0.026441	0.018776	0.041030	0.015729	0.020930	0.019160	0.005440	0.023273	0.011613
eod1	0.028733	0.036427	0.001387	0.051501	0.058992	0.067513	0.049714	0.076679	0.117325	0.076249	0.016312	0.037247	0.043270	0.067742	0.020352	0.036773	0.037904	0.005865	0.035749	0.020676
wcspd	0.064746	0.067153	0.063709	0.067517	0.042761	0.057788	0.056879	0.069246	0.072414	0.058874	0.055403	0.077229	0.040846	0.061030	0.059947	0.055474	0.063982	0.058021	0.060971	0.061344
wcaod	0.050582	0.035072	0.040410	0.070473	0.065809	0.052725	0.045863	0.057937	0.082432	0.043650	0.021537	0.038864	0.072447	0.060338	0.055123	0.027138	0.077140	0.029054	0.029554	0.043273
wceod	0.086667	0.049476	0.059081	0.142053	0.122090	0.106380	0.079788	0.089506	0.157316	0.085758	0.067534	0.046305	0.142865	0.108480	0.108815	0.041729	0.153899	0.040983	0.048327	0.066300
avespd	0.018712	0.021758	0.019962	0.020146	0.016112	0.017204	0.022603	0.021483	0.021996	0.017770	0.020664	0.020872	0.012732	0.018681	0.018081	0.016973	0.022218	0.020129	0.019254	0.021119
aveaod	0.013859	0.011287	0.011215	0.020057	0.024876	0.020464	0.014814	0.022329	0.033713	0.021155	0.009608	0.013490	0.021321	0.022496	0.016720	0.010732	0.022911	0.009324	0.010507	0.014112
aveeod	0.023625	0.018768	0.017801	0.037236	0.046127	0.037946	0.027160	0.039249	0.063121	0.038719	0.025230	0.019167	0.040064	0.037808	0.031525	0.018589	0.043201	0.012682	0.015211	0.022398
