accuracy	0.818877	0.816010	0.814236	0.813895	0.816488	0.817580	0.816420	0.811984	0.809732	0.815260	0.816079	0.815601	0.814236	0.814987	0.817102	0.817853	0.814714	0.813622	0.814100	0.815464
recall	0.639434	0.636621	0.639532	0.634166	0.642033	0.641570	0.640538	0.636992	0.637260	0.636389	0.641971	0.630922	0.635940	0.635624	0.644186	0.641453	0.639930	0.636924	0.636277	0.638438
precision	0.816591	0.819078	0.817470	0.812742	0.807886	0.816410	0.820147	0.809057	0.810872	0.808715	0.818993	0.807985	0.808576	0.810127	0.813399	0.815805	0.817509	0.819204	0.812469	0.815797
f1score	0.665226	0.661201	0.664064	0.657828	0.667532	0.667303	0.665802	0.660607	0.660274	0.660797	0.667341	0.654548	0.660009	0.659835	0.670117	0.667244	0.664651	0.660878	0.660330	0.663163
mcc	0.420208	0.417578	0.420938	0.409679	0.418234	0.423293	0.424231	0.411525	0.413135	0.410391	0.425619	0.401606	0.409623	0.410174	0.425148	0.422713	0.421563	0.418122	0.412709	0.418178
spd0	0.087734	0.077733	0.084873	0.078213	0.080989	0.084661	0.084696	0.084834	0.082479	0.082585	0.082356	0.080036	0.082591	0.081088	0.088318	0.087637	0.085259	0.078402	0.079506	0.083118
aod0	0.071423	0.048384	0.052428	0.052853	0.040365	0.059432	0.056534	0.049045	0.049093	0.050473	0.045270	0.058726	0.058894	0.047125	0.054439	0.053771	0.060039	0.047794	0.044721	0.059314
eod0	0.122456	0.077530	0.082610	0.087421	0.058497	0.099493	0.092148	0.074128	0.076425	0.075412	0.070641	0.095276	0.095156	0.073384	0.083227	0.083173	0.102576	0.077948	0.069936	0.098860
spd1	0.028709	0.040896	0.038253	0.039626	0.034104	0.036392	0.041213	0.039113	0.039829	0.038946	0.040741	0.036379	0.043768	0.032146	0.031264	0.030989	0.031460	0.035048	0.034894	0.038735
aod1	0.014133	0.017139	0.005497	0.018850	0.010961	0.005403	0.021266	0.015677	0.006930	0.005880	0.005385	0.001139	0.025878	0.002217	0.019608	0.013316	0.013331	0.008078	0.007750	0.018520
eod1	0.037829	0.023040	0.000315	0.027000	0.013774	0.001572	0.036890	0.017439	0.000754	0.000497	0.003061	0.014650	0.041468	0.001639	0.048437	0.037133	0.038006	0.009725	0.027140	0.027501
wcspd	0.102989	0.094983	0.098377	0.098924	0.093649	0.097891	0.102373	0.102700	0.100117	0.096251	0.097377	0.090814	0.098584	0.098815	0.104373	0.094522	0.102551	0.095948	0.095010	0.097812
wcaod	0.112532	0.062822	0.054064	0.073541	0.045166	0.061554	0.059050	0.062756	0.069741	0.054383	0.046362	0.065086	0.069599	0.088353	0.078126	0.067297	0.083796	0.075886	0.057583	0.067055
wceod	0.210933	0.101198	0.087442	0.119098	0.067785	0.103597	0.098352	0.094581	0.122982	0.083167	0.081125	0.108689	0.112870	0.154150	0.137891	0.121232	0.150870	0.137093	0.106166	0.115185
avespd	0.042665	0.038724	0.039764	0.038167	0.037215	0.039005	0.041252	0.040269	0.038711	0.039313	0.039403	0.037996	0.041685	0.038830	0.042374	0.038348	0.041985	0.036501	0.036287	0.039882
aveaod	0.044885	0.025240	0.023817	0.028419	0.015078	0.026444	0.026919	0.025321	0.028894	0.019455	0.021307	0.019641	0.031577	0.032401	0.029453	0.020841	0.035301	0.029897	0.023413	0.022314
aveeod	0.080969	0.040737	0.038268	0.047226	0.020962	0.044030	0.046250	0.038932	0.048212	0.027026	0.034846	0.031855	0.052729	0.054107	0.046610	0.039880	0.062225	0.051649	0.037755	0.037467
