accuracy	0.861866	0.862708	0.863340	0.855127	0.858286	0.864393	0.861655	0.854917	0.861866	0.857865	0.864814	0.864814	0.860813	0.825648	0.861445	0.859549	0.857865	0.862708	0.862708	0.855970
recall	0.661390	0.703602	0.679309	0.640559	0.678689	0.684083	0.647251	0.688053	0.669966	0.646413	0.679118	0.672175	0.650836	0.500000	0.689140	0.649812	0.662543	0.632431	0.669896	0.685627
precision	0.770629	0.767586	0.775633	0.780374	0.753883	0.772568	0.773925	0.749225	0.797770	0.770555	0.775368	0.794585	0.792571	0.412824	0.753264	0.776473	0.785675	0.795676	0.765152	0.755923
f1score	0.693238	0.727850	0.710239	0.672810	0.704866	0.713770	0.680021	0.710875	0.705004	0.678307	0.710158	0.707060	0.685427	0.452249	0.713074	0.682571	0.695861	0.666398	0.700082	0.710741
mcc	0.417980	0.466824	0.444629	0.397034	0.425986	0.447996	0.401675	0.432978	0.449937	0.398059	0.444178	0.450423	0.420144	0.000000	0.437733	0.407032	0.430972	0.395761	0.424492	0.435919
spd0	0.067423	0.068875	0.061018	0.064758	0.040667	0.044670	0.058563	0.057416	0.041139	0.049106	0.065326	0.042217	0.028437	0.000000	0.067620	0.062753	0.061118	0.051981	0.067141	0.058469
aod0	0.059515	0.031854	0.043611	0.062074	0.009079	0.024632	0.052084	0.032643	0.009736	0.033386	0.034188	0.019344	0.002054	0.000000	0.051458	0.065799	0.054652	0.061531	0.062472	0.046264
eod0	0.080578	0.028301	0.056650	0.088678	0.002953	0.030077	0.079891	0.032202	0.002092	0.041897	0.030365	0.022611	0.009186	0.000000	0.068999	0.100895	0.082661	0.102938	0.095557	0.066298
spd1	0.055335	0.043135	0.037775	0.033747	0.044346	0.053977	0.020077	0.070447	0.044845	0.039416	0.023177	0.062180	0.029908	0.000000	0.035159	0.029644	0.034167	0.036890	0.052202	0.043537
aod1	0.089088	0.035784	0.034833	0.048982	0.074255	0.083132	0.008262	0.087725	0.071929	0.060961	0.022836	0.082099	0.044383	0.000000	0.034260	0.044012	0.051344	0.042785	0.078410	0.058398
eod1	0.154594	0.052558	0.056163	0.089870	0.135181	0.149893	0.009591	0.140337	0.134539	0.110139	0.041135	0.138696	0.082056	0.000000	0.050371	0.079483	0.093115	0.068878	0.136429	0.105919
wcspd	0.123532	0.111011	0.102080	0.095326	0.085997	0.096701	0.082251	0.124385	0.089646	0.088705	0.091095	0.104441	0.060037	0.000000	0.106984	0.094739	0.099622	0.081657	0.115882	0.095182
wcaod	0.171025	0.063555	0.100229	0.109959	0.096600	0.113573	0.077982	0.117403	0.102527	0.116741	0.049811	0.106994	0.092374	0.000000	0.119489	0.124266	0.137122	0.090114	0.146002	0.091920
wceod	0.281240	0.070529	0.155803	0.177849	0.166433	0.194203	0.124922	0.167901	0.191366	0.199883	0.061701	0.172145	0.176517	0.000000	0.188063	0.208853	0.238177	0.146009	0.243513	0.150208
avespd	0.036737	0.033697	0.031575	0.030763	0.026962	0.031625	0.029622	0.040851	0.025709	0.027477	0.033551	0.031969	0.017307	0.000000	0.035058	0.031537	0.031643	0.029618	0.037442	0.033778
aveaod	0.052504	0.021740	0.028172	0.038269	0.039197	0.042470	0.029844	0.043448	0.039589	0.036251	0.017792	0.041578	0.027297	0.000000	0.035051	0.037752	0.037205	0.035487	0.048309	0.037338
aveeod	0.086693	0.028673	0.041000	0.063371	0.071469	0.076630	0.047900	0.069056	0.074231	0.064475	0.025951	0.070417	0.051148	0.000000	0.054089	0.064181	0.063686	0.058268	0.080995	0.062040
