accuracy	0.863550	0.864393	0.858497	0.853022	0.859549	0.862919	0.858707	0.853653	0.858707	0.859339	0.863340	0.859760	0.858707	0.856391	0.867972	0.858497	0.859549	0.862076	0.860602	0.857444
recall	0.655355	0.665895	0.653834	0.640231	0.655486	0.656825	0.647521	0.645528	0.656969	0.657665	0.656267	0.655715	0.657258	0.651042	0.668920	0.646221	0.667727	0.660929	0.651805	0.663987
precision	0.781722	0.793396	0.771118	0.770466	0.767599	0.782523	0.760871	0.759671	0.795148	0.769802	0.783506	0.785252	0.777408	0.775646	0.783947	0.774261	0.788847	0.769325	0.765803	0.769343
f1score	0.689180	0.700920	0.685756	0.671315	0.687008	0.690626	0.678379	0.675675	0.691551	0.689347	0.690257	0.689422	0.689870	0.683272	0.702874	0.678591	0.701427	0.692639	0.683374	0.694960
mcc	0.418412	0.441239	0.408447	0.389500	0.407961	0.420982	0.392346	0.388789	0.430483	0.412496	0.420964	0.421512	0.417731	0.408089	0.438015	0.400513	0.440216	0.416376	0.401748	0.420327
spd0	0.050340	0.061379	0.052897	0.053425	0.028091	0.043134	0.046330	0.038239	0.042345	0.045610	0.052836	0.051305	0.041035	0.049057	0.047230	0.046440	0.055778	0.058319	0.048594	0.055697
aod0	0.025246	0.039799	0.035841	0.042173	0.008052	0.026871	0.029401	0.020100	0.018383	0.021293	0.024915	0.035921	0.014869	0.039586	0.026380	0.027855	0.051394	0.059255	0.030970	0.052124
eod0	0.020134	0.049404	0.043880	0.056106	0.031181	0.032646	0.042525	0.021367	0.018831	0.019684	0.020552	0.046583	0.015496	0.053649	0.032922	0.030584	0.083842	0.094061	0.041288	0.080481
spd1	0.019369	0.025435	0.013035	0.025008	0.028482	0.030386	0.011032	0.026763	0.030567	0.026770	0.012191	0.027454	0.018632	0.035822	0.028819	0.024596	0.026941	0.020148	0.033385	0.012353
aod1	0.020175	0.024378	0.000067	0.033006	0.031486	0.038746	0.017650	0.027763	0.038789	0.044800	0.002688	0.015361	0.014722	0.050853	0.027098	0.027205	0.036885	0.011573	0.044124	0.008374
eod1	0.037567	0.045238	0.003159	0.063310	0.051118	0.072164	0.040308	0.050847	0.071820	0.090363	0.005319	0.023599	0.026147	0.087875	0.040171	0.045141	0.068347	0.021031	0.077918	0.015371
wcspd	0.075716	0.082150	0.069971	0.078608	0.059194	0.074790	0.061105	0.063586	0.076629	0.075152	0.068460	0.081458	0.059282	0.086948	0.080709	0.074866	0.088366	0.074257	0.080010	0.065802
wcaod	0.074835	0.061095	0.057229	0.090399	0.057187	0.072482	0.043707	0.041548	0.083824	0.085133	0.026619	0.058279	0.053483	0.105873	0.080553	0.056763	0.119990	0.065417	0.078178	0.060078
wceod	0.123889	0.090458	0.079676	0.151039	0.110156	0.118841	0.076767	0.066823	0.155989	0.148910	0.025068	0.082995	0.100337	0.170879	0.128864	0.076285	0.214898	0.102845	0.126045	0.093612
avespd	0.027497	0.028414	0.027897	0.026365	0.017224	0.021834	0.023777	0.020013	0.022324	0.023464	0.027714	0.026755	0.020134	0.025294	0.025268	0.024195	0.029545	0.026869	0.025383	0.026436
aveaod	0.021945	0.021522	0.021299	0.025634	0.018876	0.023476	0.014524	0.016406	0.024761	0.026092	0.012202	0.019794	0.016379	0.028293	0.022519	0.018155	0.034280	0.027363	0.025671	0.022676
aveeod	0.035072	0.032670	0.027908	0.042064	0.035043	0.039465	0.020790	0.026375	0.046409	0.052345	0.009134	0.026353	0.029782	0.049460	0.038027	0.027419	0.058994	0.043213	0.041870	0.034074
