accuracy	0.816889	0.812222	0.816778	0.824889	0.814222	0.810889	0.808000	0.812333	0.816556	0.810556	0.812778	0.812444	0.813000	0.813778	0.805444	0.814111	0.816000	0.811444	0.810444	0.814778
recall	0.651891	0.651250	0.661492	0.660211	0.655190	0.654988	0.650716	0.650151	0.658015	0.654015	0.654203	0.661515	0.655144	0.651673	0.650232	0.657339	0.656486	0.655340	0.658770	0.655966
precision	0.737174	0.737029	0.744313	0.751326	0.747937	0.739438	0.731271	0.733704	0.747699	0.726866	0.741210	0.739944	0.739075	0.740081	0.733046	0.739405	0.746152	0.728575	0.745962	0.728841
f1score	0.674889	0.673700	0.684699	0.685303	0.678789	0.677352	0.672103	0.672324	0.681790	0.674956	0.677016	0.683694	0.677720	0.674598	0.671496	0.679952	0.680103	0.676481	0.681538	0.677409
mcc	0.379603	0.378685	0.397264	0.401323	0.392312	0.385280	0.373397	0.374651	0.395678	0.373849	0.385723	0.393723	0.385180	0.381648	0.374224	0.388163	0.392527	0.376866	0.395228	0.377843
spd0	0.026266	0.028869	0.028652	0.018841	0.014036	0.028844	0.017820	0.026694	0.022522	0.031388	0.029940	0.022918	0.022499	0.026406	0.018576	0.025903	0.021668	0.016497	0.020676	0.027911
aod0	0.023157	0.016710	0.013399	0.002538	0.002502	0.020340	0.004098	0.008348	0.016943	0.023176	0.024217	0.020409	0.007468	0.016663	0.007718	0.009475	0.000800	0.008026	0.008960	0.023074
eod0	0.029180	0.017282	0.003453	0.003361	0.007716	0.027357	0.026619	0.007665	0.023460	0.025007	0.030614	0.033809	0.000746	0.017092	0.003436	0.002874	0.018324	0.005315	0.002543	0.030744
spd1	0.055910	0.047187	0.031605	0.047621	0.063424	0.048131	0.049664	0.032791	0.058004	0.054991	0.054188	0.073537	0.063468	0.038767	0.052272	0.061496	0.062172	0.053509	0.047299	0.052481
aod1	0.044823	0.032026	0.028910	0.033544	0.054409	0.037373	0.024849	0.046551	0.061666	0.040193	0.038316	0.085548	0.047717	0.024397	0.039542	0.054402	0.051713	0.028648	0.039072	0.034960
eod1	0.054363	0.035312	0.057452	0.047820	0.081817	0.065941	0.018540	0.082128	0.110129	0.052605	0.051233	0.132481	0.057365	0.036639	0.041622	0.081616	0.059763	0.029939	0.062106	0.035829
wcspd	0.089468	0.089537	0.057805	0.064033	0.082112	0.065780	0.076279	0.061727	0.070418	0.075394	0.119999	0.114293	0.075838	0.058802	0.078310	0.089011	0.111413	0.062781	0.075599	0.108807
wcaod	0.061151	0.063518	0.047748	0.047266	0.075200	0.059601	0.064201	0.060897	0.081615	0.067592	0.107658	0.109091	0.066150	0.041612	0.048860	0.063262	0.065940	0.048922	0.049203	0.099222
wceod	0.069893	0.057971	0.094293	0.068498	0.115511	0.105864	0.104904	0.088471	0.150896	0.098048	0.162760	0.155246	0.085315	0.085248	0.051959	0.101963	0.071012	0.104575	0.070835	0.136555
avespd	0.036249	0.033567	0.024266	0.028200	0.030226	0.030670	0.030290	0.024736	0.032910	0.032829	0.040016	0.044287	0.035463	0.026319	0.031615	0.037405	0.039832	0.029166	0.030061	0.037348
aveaod	0.027872	0.022433	0.015664	0.014464	0.020939	0.021426	0.018889	0.025236	0.030818	0.021860	0.030679	0.046749	0.021970	0.016483	0.021277	0.027716	0.028064	0.013961	0.021042	0.028465
aveeod	0.032911	0.022723	0.027163	0.020125	0.031451	0.034720	0.031938	0.041800	0.050702	0.032481	0.042170	0.070693	0.022972	0.025937	0.018542	0.036932	0.030548	0.031069	0.031763	0.038337
