accuracy	0.806111	0.796111	0.798778	0.808222	0.791444	0.792333	0.795444	0.800000	0.797222	0.801000	0.797000	0.795111	0.793889	0.796111	0.792333	0.797333	0.797222	0.803333	0.789667	0.806556
recall	0.565584	0.559821	0.563826	0.565668	0.554833	0.556692	0.563763	0.568873	0.561788	0.568847	0.562121	0.564562	0.554387	0.558167	0.562780	0.561428	0.559183	0.569401	0.562550	0.569988
precision	0.789567	0.760265	0.770171	0.783963	0.757766	0.768545	0.769146	0.755918	0.771390	0.761709	0.782152	0.767009	0.760717	0.759180	0.782773	0.766380	0.777683	0.782712	0.767084	0.773473
f1score	0.564917	0.554646	0.561098	0.565942	0.545427	0.548009	0.560085	0.570033	0.557389	0.569926	0.557221	0.561360	0.545231	0.552082	0.556797	0.557158	0.552910	0.570268	0.556610	0.572559
mcc	0.275616	0.249555	0.262633	0.273110	0.237773	0.246774	0.262004	0.265524	0.258988	0.268461	0.264784	0.262592	0.238156	0.245566	0.266477	0.255837	0.256392	0.280147	0.258505	0.276694
spd0	0.012898	0.007568	0.005021	0.005748	0.010160	0.017194	0.010961	0.009036	0.008140	0.014234	0.008041	0.008699	0.014960	0.009786	0.008420	0.009585	0.006849	0.011861	0.009205	0.012528
aod0	0.019966	0.001353	0.004883	0.006296	0.010066	0.018734	0.001726	0.003375	0.008414	0.008909	0.008946	0.005706	0.015619	0.007828	0.006110	0.000248	0.000183	0.012250	0.004300	0.009784
eod0	0.037588	0.001003	0.015900	0.018277	0.013801	0.029982	0.007742	0.018006	0.015480	0.006723	0.017459	0.007366	0.024185	0.011257	0.008525	0.009133	0.003052	0.018586	0.001223	0.012201
spd1	0.008067	0.017315	0.010943	0.003235	0.000923	0.000368	0.003556	0.002906	0.003702	0.002039	0.003708	0.021481	0.005908	0.011033	0.002998	0.009744	0.011043	0.005575	0.000334	0.004973
aod1	0.009301	0.016694	0.006229	0.006012	0.014611	0.011885	0.011141	0.005270	0.003318	0.019208	0.010515	0.027637	0.025591	0.000690	0.020985	0.004145	0.000772	0.008145	0.010454	0.007766
eod1	0.031049	0.029521	0.009840	0.007467	0.032943	0.020707	0.023435	0.016185	0.002682	0.045939	0.023056	0.049154	0.053600	0.009741	0.047248	0.008612	0.009293	0.013539	0.018355	0.017533
wcspd	0.026777	0.032525	0.014203	0.012630	0.044492	0.034813	0.026040	0.011480	0.016793	0.015262	0.015921	0.027802	0.017490	0.032359	0.013612	0.025122	0.026446	0.017510	0.019061	0.049957
wcaod	0.027829	0.037740	0.014439	0.011082	0.075996	0.039511	0.038886	0.034017	0.031595	0.034875	0.021491	0.041873	0.034432	0.035278	0.028941	0.015794	0.006656	0.017274	0.020703	0.065359
wceod	0.066871	0.074606	0.032502	0.020684	0.149871	0.068093	0.065782	0.076083	0.076704	0.086875	0.053399	0.077054	0.077392	0.073913	0.060197	0.032852	0.011439	0.027435	0.040295	0.104739
avespd	0.009111	0.011624	0.006585	0.003928	0.012996	0.012631	0.008923	0.005460	0.005340	0.005081	0.005091	0.011852	0.006082	0.010083	0.005377	0.008409	0.008572	0.006611	0.006880	0.014904
aveaod	0.010825	0.011431	0.004505	0.004736	0.019985	0.013788	0.010530	0.008897	0.009322	0.012359	0.007043	0.012482	0.015195	0.009968	0.008518	0.004419	0.001737	0.006242	0.005865	0.017249
aveeod	0.021682	0.021221	0.011541	0.008614	0.039276	0.023064	0.020865	0.022332	0.021450	0.028226	0.016357	0.020561	0.031423	0.019425	0.019680	0.009692	0.005141	0.009956	0.011055	0.027193
