accuracy	0.642956	0.628176	0.659584	0.641109	0.650346	0.648037	0.649885	0.642032	0.643418	0.639723	0.647113	0.647113	0.634642	0.660046	0.639723	0.629561	0.634180	0.631409	0.658199	0.635104
recall	0.633266	0.617989	0.649090	0.632630	0.639374	0.637978	0.640099	0.629798	0.636420	0.630785	0.637437	0.638548	0.627803	0.648026	0.632553	0.622521	0.628649	0.622611	0.649773	0.624322
precision	0.640715	0.625707	0.657411	0.637882	0.641848	0.643095	0.645713	0.639403	0.638423	0.632288	0.642527	0.643117	0.634554	0.654410	0.635424	0.626167	0.631741	0.625323	0.654328	0.629686
f1score	0.632803	0.616738	0.649228	0.632678	0.640175	0.638536	0.640544	0.628985	0.636949	0.631312	0.637919	0.638978	0.626482	0.648945	0.633001	0.622553	0.628701	0.623124	0.650418	0.624549
mcc	0.273880	0.243574	0.306388	0.270462	0.281212	0.281027	0.285757	0.269030	0.274837	0.263070	0.279918	0.281628	0.262270	0.302368	0.267962	0.248661	0.260372	0.247919	0.304066	0.253951
spd0	0.077353	0.070392	0.119962	0.091841	0.110641	0.151851	0.095638	0.157749	0.115044	0.117319	0.126470	0.152557	0.093902	0.135791	0.148604	0.157532	0.165146	0.115166	0.124992	0.114079
aod0	0.059430	0.041897	0.080692	0.062902	0.075044	0.126859	0.065250	0.128924	0.085099	0.096393	0.097096	0.125162	0.060356	0.097649	0.127116	0.140700	0.143300	0.085712	0.104768	0.085854
eod0	0.019755	0.026850	0.060496	0.037337	0.116409	0.120008	0.047069	0.136109	0.078696	0.043741	0.075600	0.122621	0.038584	0.106667	0.122150	0.117575	0.134965	0.095320	0.059064	0.088934
spd1	0.132592	0.079699	0.115899	0.103986	0.115650	0.141613	0.122573	0.120958	0.129784	0.166006	0.135060	0.111997	0.109038	0.121735	0.171088	0.103629	0.139047	0.149261	0.112437	0.154121
aod1	0.107983	0.055134	0.103386	0.081857	0.086927	0.117356	0.102610	0.093496	0.111755	0.138691	0.117941	0.076722	0.080641	0.097664	0.152878	0.076681	0.119329	0.142630	0.087800	0.133974
eod1	0.103793	0.062756	0.053125	0.080981	0.095841	0.109420	0.085759	0.090309	0.118246	0.131222	0.086489	0.096372	0.076451	0.073691	0.125407	0.091984	0.105459	0.095472	0.101322	0.125680
spd2	0.159770	0.174261	0.186998	0.205450	0.204829	0.199705	0.202188	0.173700	0.174066	0.234884	0.199641	0.214511	0.162312	0.214276	0.165874	0.272233	0.203897	0.213453	0.197579	0.223771
aod2	0.114472	0.142501	0.145404	0.156921	0.149130	0.149953	0.164933	0.123372	0.118728	0.189240	0.180568	0.170064	0.118868	0.171539	0.127667	0.244910	0.182927	0.181783	0.160046	0.183868
eod2	0.112472	0.117710	0.126012	0.169330	0.177032	0.169682	0.142185	0.144153	0.146171	0.193766	0.090211	0.178205	0.100997	0.156565	0.096529	0.232475	0.124009	0.151158	0.141774	0.187126
wcspd	0.340621	0.269464	0.298054	0.319539	0.431219	0.379141	0.330605	0.368644	0.392994	0.416478	0.384880	0.395462	0.331014	0.403100	0.413521	0.454324	0.332480	0.390162	0.398659	0.412847
wcaod	0.307063	0.227031	0.361502	0.379386	0.373733	0.372379	0.285806	0.326387	0.269545	0.351061	0.330364	0.358046	0.287826	0.352143	0.453398	0.418403	0.316561	0.354141	0.354586	0.373607
wceod	0.251509	0.215601	0.200924	0.288910	0.344615	0.311598	0.253736	0.296171	0.331836	0.341102	0.263328	0.321429	0.248081	0.309489	0.257292	0.375350	0.281612	0.318383	0.304410	0.339447
avespd	0.101632	0.089860	0.113053	0.115709	0.133774	0.137352	0.105058	0.132583	0.121709	0.138633	0.124396	0.133851	0.097792	0.127184	0.139196	0.159044	0.137056	0.126418	0.121080	0.133001
aveaod	0.090339	0.076157	0.101832	0.113472	0.111926	0.120004	0.087990	0.112739	0.079683	0.125907	0.117180	0.110734	0.097392	0.106240	0.141084	0.141400	0.125960	0.107768	0.114576	0.114297
aveeod	0.083746	0.058934	0.060024	0.083109	0.115034	0.102557	0.062997	0.106817	0.092797	0.091206	0.080788	0.105329	0.080860	0.089268	0.092405	0.131807	0.091194	0.080019	0.090850	0.101757
