accuracy	0.647113	0.650346	0.664203	0.647575	0.649423	0.661894	0.660970	0.654965	0.651270	0.656813	0.647575	0.649885	0.650808	0.655427	0.663279	0.661894	0.650808	0.658661	0.664665	0.643418
recall	0.631076	0.633949	0.646531	0.635911	0.626049	0.639525	0.645203	0.637182	0.635639	0.634532	0.629023	0.632802	0.639251	0.637011	0.644854	0.645359	0.637250	0.645642	0.644894	0.626450
precision	0.653453	0.659964	0.672468	0.646834	0.642283	0.672101	0.662293	0.661016	0.649601	0.653372	0.649682	0.653259	0.662522	0.652500	0.672451	0.675234	0.660906	0.654640	0.674797	0.641904
f1score	0.625773	0.627516	0.642451	0.634730	0.625424	0.633867	0.643673	0.632793	0.634481	0.633503	0.625288	0.629058	0.632518	0.636259	0.640229	0.639019	0.631051	0.646092	0.639971	0.624249
mcc	0.283648	0.292759	0.317943	0.282534	0.267841	0.309918	0.307021	0.297243	0.284898	0.287287	0.277939	0.285328	0.300874	0.289096	0.316102	0.319198	0.297216	0.300147	0.318289	0.267909
spd0	0.071520	0.100250	0.098203	0.070774	0.082477	0.106444	0.075229	0.091867	0.116157	0.116481	0.093618	0.079648	0.091956	0.092852	0.088215	0.079254	0.114052	0.085659	0.094906	0.153638
aod0	0.048760	0.064885	0.062996	0.030718	0.059100	0.084452	0.044259	0.059634	0.086261	0.080424	0.060677	0.057957	0.047226	0.060932	0.069696	0.059731	0.092141	0.052692	0.073119	0.126241
eod0	0.033686	0.060485	0.030495	0.043363	0.061252	0.062010	0.022361	0.072457	0.080436	0.071200	0.059827	0.033789	0.054844	0.055449	0.037995	0.027183	0.074347	0.054444	0.037809	0.125334
spd1	0.160308	0.109042	0.120798	0.117731	0.126738	0.113447	0.129786	0.130709	0.147931	0.167380	0.134799	0.136648	0.116494	0.125808	0.146609	0.139400	0.131375	0.140972	0.105217	0.143831
aod1	0.136731	0.079480	0.105770	0.093591	0.099963	0.092530	0.108882	0.102615	0.131693	0.142874	0.117500	0.107249	0.090010	0.100873	0.124431	0.111463	0.111962	0.128468	0.086349	0.125479
eod1	0.130213	0.100443	0.075795	0.103500	0.112857	0.061672	0.092915	0.093960	0.127203	0.118227	0.096017	0.102403	0.055428	0.093510	0.107508	0.104028	0.084012	0.102892	0.066514	0.103581
spd2	0.062436	0.061718	0.078575	0.082468	0.096974	0.093337	0.107693	0.074840	0.076533	0.121176	0.084078	0.057429	0.056158	0.107613	0.080090	0.049084	0.049358	0.066539	0.021217	0.043767
aod2	0.001015	0.006316	0.028780	0.009412	0.043000	0.043191	0.067542	0.007683	0.012112	0.061349	0.029763	0.002307	0.013481	0.042106	0.025541	0.001785	0.002448	0.004891	0.037946	0.001771
eod2	0.047047	0.034779	0.032809	0.089768	0.072977	0.055767	0.042391	0.066897	0.061714	0.094065	0.043869	0.044080	0.027429	0.102823	0.022524	0.045777	0.024516	0.025922	0.017154	0.004726
wcspd	0.254294	0.237051	0.264271	0.283106	0.293235	0.279963	0.270392	0.256411	0.300014	0.307825	0.248235	0.296296	0.245370	0.266000	0.315377	0.261793	0.257143	0.239735	0.234418	0.280150
wcaod	0.266608	0.179438	0.196700	0.245620	0.249051	0.238196	0.176434	0.267891	0.224961	0.250135	0.248020	0.252232	0.153738	0.201656	0.320672	0.236853	0.220785	0.213764	0.256922	0.286220
wceod	0.183544	0.165266	0.161515	0.211026	0.213547	0.166836	0.159418	0.166667	0.252474	0.227061	0.176756	0.257182	0.162015	0.207332	0.234201	0.182155	0.231145	0.169239	0.135714	0.283551
avespd	0.084620	0.073993	0.089449	0.087677	0.092957	0.095034	0.078847	0.082784	0.113308	0.115634	0.095600	0.087201	0.085611	0.080269	0.109422	0.079358	0.101322	0.091881	0.078417	0.109971
aveaod	0.089987	0.054873	0.068458	0.057744	0.078519	0.077360	0.050612	0.068118	0.084298	0.099656	0.076067	0.078434	0.053093	0.063959	0.098304	0.069463	0.081013	0.069632	0.060705	0.096621
aveeod	0.053365	0.059002	0.047327	0.063392	0.068002	0.060086	0.042566	0.057281	0.090610	0.071706	0.059074	0.058949	0.048147	0.057929	0.071261	0.048281	0.068464	0.055612	0.046680	0.078058
