accuracy	0.658661	0.660046	0.671594	0.660508	0.667898	0.672979	0.656813	0.668822	0.653580	0.657737	0.672979	0.659584	0.660046	0.672055	0.664203	0.669746	0.661432	0.675751	0.669284	0.659122
recall	0.640396	0.641635	0.651939	0.643469	0.643967	0.651143	0.636857	0.649099	0.633738	0.635223	0.653589	0.640277	0.647469	0.649251	0.645516	0.652294	0.646806	0.656072	0.650589	0.638049
precision	0.673336	0.678278	0.686732	0.670729	0.664320	0.684923	0.664260	0.682657	0.657469	0.654655	0.681754	0.669321	0.677646	0.677562	0.674196	0.688146	0.677263	0.681035	0.678022	0.666473
f1score	0.632853	0.632874	0.646202	0.638164	0.643903	0.646648	0.631827	0.643406	0.629773	0.634124	0.650330	0.634800	0.639319	0.646793	0.640675	0.645149	0.639500	0.654325	0.646909	0.633253
mcc	0.311998	0.317807	0.336879	0.313013	0.307615	0.334364	0.299867	0.330054	0.290238	0.289226	0.334158	0.308232	0.323712	0.325584	0.318424	0.338547	0.322635	0.336182	0.327463	0.303192
spd0	0.110796	0.110778	0.092573	0.110336	0.096882	0.108098	0.067277	0.122582	0.109216	0.137910	0.117017	0.102767	0.128795	0.126232	0.107888	0.100375	0.120122	0.095274	0.113393	0.127845
aod0	0.091203	0.075937	0.055143	0.073108	0.069899	0.093375	0.035471	0.089722	0.092483	0.107210	0.083175	0.079714	0.090693	0.090475	0.089309	0.084090	0.098543	0.065963	0.093768	0.100091
eod0	0.053606	0.061609	0.024117	0.068689	0.073535	0.029390	0.024884	0.095048	0.036726	0.081653	0.061959	0.055337	0.064483	0.089130	0.057808	0.029076	0.069896	0.044141	0.044338	0.089077
spd1	0.163536	0.149561	0.153674	0.150061	0.178137	0.137469	0.125264	0.153687	0.153644	0.204004	0.161971	0.148516	0.153332	0.173517	0.183001	0.164931	0.149933	0.177207	0.149465	0.151319
aod1	0.140096	0.124028	0.139210	0.129912	0.155857	0.112577	0.108304	0.127209	0.133518	0.177736	0.142801	0.117830	0.125900	0.152542	0.160217	0.141473	0.133469	0.163508	0.130521	0.134598
eod1	0.120705	0.110231	0.101065	0.104196	0.132016	0.093074	0.075598	0.094704	0.157146	0.162699	0.108339	0.110872	0.087615	0.113211	0.148238	0.096498	0.071526	0.138656	0.106942	0.090490
spd2	0.084864	0.082833	0.127777	0.098440	0.121946	0.134079	0.141094	0.103853	0.092132	0.129545	0.134187	0.106116	0.069033	0.126127	0.106301	0.110895	0.103025	0.120691	0.089012	0.096672
aod2	0.030787	0.035217	0.090117	0.039080	0.070571	0.090064	0.113805	0.045221	0.043071	0.082658	0.085320	0.059883	0.001862	0.073793	0.047074	0.071999	0.066812	0.058858	0.040613	0.055761
eod2	0.043260	0.028512	0.050587	0.065391	0.076660	0.072615	0.057675	0.064527	0.048302	0.078469	0.058376	0.064893	0.025039	0.081472	0.059745	0.064587	0.039523	0.072503	0.054491	0.037199
wcspd	0.290059	0.260096	0.314271	0.288867	0.307791	0.315045	0.284006	0.321045	0.314445	0.350932	0.321494	0.281628	0.302956	0.303320	0.366232	0.296046	0.268038	0.292068	0.259010	0.271378
wcaod	0.293131	0.207704	0.256502	0.237546	0.223370	0.295457	0.238453	0.325523	0.284655	0.314164	0.304900	0.298582	0.230365	0.253723	0.344896	0.267882	0.223060	0.261944	0.227096	0.251094
wceod	0.194069	0.181436	0.173978	0.172191	0.254531	0.171965	0.141008	0.171878	0.244866	0.269208	0.179870	0.197173	0.206971	0.219553	0.236220	0.151275	0.161671	0.237896	0.191151	0.195489
avespd	0.097907	0.089130	0.098519	0.100904	0.099769	0.101641	0.085745	0.102256	0.110608	0.134601	0.108796	0.094684	0.108896	0.098025	0.123546	0.093712	0.106960	0.109183	0.090845	0.103073
aveaod	0.101507	0.073975	0.082143	0.078092	0.079830	0.087574	0.062648	0.088122	0.092482	0.122022	0.092502	0.088247	0.074940	0.089259	0.109722	0.081783	0.095837	0.085170	0.075284	0.095785
aveeod	0.059052	0.063907	0.055279	0.061300	0.068045	0.053494	0.047446	0.063010	0.083066	0.091888	0.059482	0.062083	0.061798	0.068110	0.085699	0.048948	0.056730	0.065723	0.059168	0.060965
