accuracy	0.547806	0.511778	0.551501	0.546420	0.632333	0.557506	0.555196	0.548268	0.497921	0.635104	0.598152	0.556582	0.678522	0.564896	0.513164	0.545035	0.541801	0.544111	0.552425	0.555658
recall	0.504636	0.548335	0.504264	0.502111	0.582157	0.504342	0.504725	0.500000	0.543735	0.588439	0.625307	0.508791	0.671243	0.505591	0.553953	0.503606	0.505688	0.584341	0.502660	0.502685
precision	0.727526	0.680501	0.691632	0.689478	0.670475	0.694651	0.731240	0.274134	0.655260	0.684560	0.664515	0.750245	0.682096	0.687776	0.676187	0.716244	0.681551	0.662366	0.704290	0.705912
f1score	0.363057	0.426225	0.364688	0.357946	0.546698	0.367325	0.366313	0.354117	0.417603	0.552319	0.582046	0.374101	0.670344	0.373335	0.436402	0.360050	0.363877	0.501349	0.361446	0.362835
mcc	0.064955	0.186811	0.057171	0.040003	0.236692	0.058143	0.066109	0.000000	0.164807	0.255518	0.287158	0.093806	0.353173	0.064804	0.194996	0.055849	0.064271	0.234043	0.046625	0.047027
spd0	0.006279	0.074868	0.006873	0.003438	0.121548	0.006889	0.006388	0.000000	0.147828	0.124390	0.186628	0.010771	0.225862	0.009335	0.159869	0.005158	0.009610	0.139966	0.004032	0.004016
aod0	0.006546	0.057918	0.007044	0.003526	0.117102	0.007239	0.006666	0.000000	0.126996	0.118357	0.143590	0.011379	0.182465	0.009783	0.135691	0.005366	0.009868	0.107515	0.004216	0.004212
eod0	0.001088	0.074448	0.002212	0.001106	0.077355	0.002148	0.001106	0.000000	0.172717	0.059545	0.189020	0.001071	0.153486	0.003275	0.212184	0.001093	0.003264	0.164353	0.001088	0.001080
spd1	0.007708	0.064986	0.006202	0.004258	0.100633	0.004392	0.007785	0.000000	0.069595	0.115690	0.111184	0.011594	0.143399	0.009129	0.076207	0.006320	0.005584	0.124646	0.002821	0.004909
aod1	0.007840	0.049962	0.006759	0.004345	0.095237	0.004481	0.008085	0.000000	0.062112	0.110322	0.088090	0.011308	0.109052	0.009036	0.062112	0.006383	0.005269	0.110755	0.003262	0.005076
eod1	0.001374	0.088147	0.001039	0.001379	0.046285	0.000808	0.001355	0.000000	0.076436	0.044296	0.106061	0.001414	0.078439	0.003984	0.095306	0.001387	0.000416	0.141631	0.002273	0.001342
spd2	0.003642	0.297862	0.004174	0.000950	0.087796	0.004252	0.006478	0.000000	0.270485	0.102377	0.410451	0.008705	0.200834	0.004115	0.294575	0.005367	0.006886	0.340762	0.004115	0.004197
aod2	0.002376	0.246665	0.003021	0.000249	0.073533	0.003101	0.006640	0.000000	0.225530	0.085006	0.348268	0.007830	0.135152	0.001677	0.245627	0.005461	0.005897	0.296772	0.004226	0.004283
eod2	0.001156	0.387448	0.002270	0.001188	0.035864	0.002260	0.001144	0.000000	0.333997	0.045764	0.415232	0.001167	0.133574	0.003405	0.353997	0.001167	0.003409	0.355761	0.001135	0.001167
wcspd	0.010267	0.545455	0.009980	0.005274	0.217759	0.010352	0.011567	0.000000	0.681818	0.224949	0.636582	0.017672	0.457882	0.014418	0.735849	0.009414	0.013780	0.641621	0.006309	0.007194
wcaod	0.009685	0.447210	0.009550	0.006098	0.213805	0.009876	0.010971	0.000000	0.634921	0.218935	0.587967	0.016680	0.390159	0.013916	0.683150	0.008926	0.013180	0.640075	0.005952	0.006917
wceod	0.002227	0.680000	0.005208	0.002320	0.109890	0.004310	0.002257	0.000000	0.714286	0.105832	0.597373	0.002232	0.279818	0.006637	0.794872	0.002257	0.004464	0.606025	0.004464	0.002183
avespd	0.004466	0.187798	0.004402	0.002618	0.084637	0.004488	0.005256	0.000000	0.195150	0.089247	0.234936	0.007856	0.153794	0.006013	0.206518	0.004295	0.006218	0.205912	0.002905	0.003324
aveaod	0.004776	0.154315	0.004749	0.002871	0.081339	0.005196	0.005544	0.000000	0.163631	0.085242	0.200340	0.008156	0.116173	0.005996	0.169644	0.004460	0.006414	0.162690	0.003090	0.003504
aveeod	0.000916	0.229191	0.001759	0.000926	0.048683	0.001649	0.000911	0.000000	0.213769	0.037561	0.220080	0.000910	0.099628	0.002685	0.225861	0.000922	0.002376	0.200151	0.001188	0.000899
