accuracy	0.677136	0.671132	0.689607	0.672517	0.683141	0.672055	0.662356	0.675751	0.670208	0.663279	0.687760	0.667898	0.674827	0.677598	0.676674	0.685912	0.674827	0.673903	0.673903	0.659122
recall	0.666896	0.661136	0.678721	0.662797	0.674399	0.661775	0.651796	0.665139	0.661226	0.651585	0.677557	0.659215	0.667826	0.666063	0.668322	0.678491	0.668493	0.664387	0.664982	0.648417
precision	0.678006	0.671946	0.690128	0.672006	0.676072	0.668497	0.659224	0.674669	0.666225	0.656254	0.685745	0.664923	0.677598	0.672909	0.674109	0.685209	0.674367	0.669543	0.670941	0.655100
f1score	0.666874	0.660848	0.679362	0.662991	0.675080	0.662677	0.652310	0.665611	0.662118	0.652692	0.678625	0.659901	0.667044	0.667294	0.669126	0.679119	0.668760	0.665407	0.665806	0.649037
mcc	0.344723	0.332906	0.368673	0.334676	0.350467	0.330204	0.310932	0.339674	0.327412	0.307803	0.363210	0.324087	0.345286	0.338903	0.342382	0.363638	0.342810	0.333891	0.335870	0.303444
spd0	0.236487	0.215051	0.164640	0.215957	0.245254	0.240130	0.172584	0.249233	0.234547	0.227470	0.219500	0.240408	0.234521	0.244552	0.244658	0.237645	0.265628	0.209696	0.236116	0.261897
aod0	0.215734	0.175972	0.117202	0.174889	0.216308	0.220199	0.133627	0.216494	0.214024	0.186949	0.179916	0.215803	0.190571	0.205970	0.227824	0.219278	0.244686	0.178579	0.211063	0.231785
eod0	0.162213	0.161806	0.095337	0.169517	0.208794	0.173209	0.140353	0.210283	0.151756	0.180498	0.160826	0.184921	0.168543	0.204035	0.171336	0.154264	0.195646	0.160133	0.175887	0.225170
spd1	0.174083	0.161549	0.174355	0.153637	0.187032	0.134550	0.139689	0.186433	0.193660	0.196949	0.160211	0.139251	0.139631	0.200747	0.201835	0.151138	0.149320	0.218114	0.160458	0.171860
aod1	0.142981	0.132123	0.158838	0.129914	0.156654	0.108200	0.120524	0.156065	0.172205	0.167978	0.137462	0.102931	0.105961	0.177147	0.175512	0.118349	0.125963	0.204654	0.136689	0.154090
eod1	0.140055	0.118394	0.103239	0.105970	0.142846	0.084965	0.086569	0.127297	0.181899	0.147041	0.100247	0.101518	0.075946	0.135161	0.160982	0.097891	0.087447	0.172582	0.130638	0.105845
spd2	0.242842	0.262157	0.296473	0.252429	0.287431	0.313118	0.308399	0.252559	0.259106	0.290567	0.276392	0.281553	0.215113	0.270343	0.262103	0.321153	0.282548	0.275893	0.274383	0.273604
aod2	0.188991	0.215584	0.258659	0.193213	0.240639	0.269110	0.283113	0.197004	0.209521	0.243277	0.228940	0.238004	0.149707	0.224275	0.206298	0.285747	0.248537	0.219457	0.233525	0.232182
eod2	0.180250	0.194781	0.199780	0.207292	0.213165	0.251150	0.214285	0.198228	0.196669	0.233880	0.180657	0.223251	0.153105	0.203623	0.193325	0.244919	0.197437	0.219039	0.214833	0.215945
wcspd	0.455550	0.494119	0.506986	0.497647	0.549119	0.515643	0.470088	0.527721	0.532598	0.551125	0.463767	0.496227	0.464778	0.488516	0.555089	0.554393	0.492648	0.523312	0.512905	0.484610
wcaod	0.432320	0.485368	0.496170	0.454378	0.480416	0.483074	0.445732	0.515604	0.492321	0.544455	0.441980	0.439626	0.397805	0.458020	0.545556	0.541365	0.471837	0.503965	0.484471	0.444793
wceod	0.337991	0.342404	0.309322	0.366589	0.421978	0.373068	0.363431	0.378378	0.400871	0.419006	0.319756	0.372768	0.293362	0.369996	0.386161	0.363431	0.319530	0.403240	0.395973	0.366424
avespd	0.173924	0.168162	0.170211	0.175428	0.206372	0.206576	0.175836	0.188607	0.190264	0.194586	0.184146	0.183396	0.162013	0.182300	0.193617	0.202508	0.209013	0.195170	0.188182	0.196813
aveaod	0.155999	0.137595	0.143310	0.133437	0.185168	0.185372	0.151111	0.165350	0.172589	0.176257	0.161777	0.155808	0.122843	0.151980	0.179644	0.187228	0.198792	0.159631	0.166820	0.177984
aveeod	0.120632	0.130164	0.106470	0.133247	0.157934	0.153172	0.129675	0.149384	0.133452	0.145212	0.123412	0.143719	0.112692	0.143499	0.130810	0.145017	0.145578	0.138540	0.144980	0.157980
