accuracy	0.675289	0.667898	0.685450	0.676674	0.676674	0.672979	0.662356	0.676674	0.665589	0.663279	0.684988	0.668822	0.672517	0.676212	0.683603	0.679908	0.676212	0.670670	0.676212	0.652194
recall	0.668691	0.661930	0.679206	0.672009	0.674662	0.667135	0.656370	0.669582	0.661539	0.659064	0.678540	0.664965	0.667767	0.669912	0.679231	0.676216	0.672717	0.667676	0.671383	0.645547
precision	0.673050	0.665477	0.682530	0.673826	0.672153	0.668726	0.658264	0.673606	0.661670	0.658037	0.681324	0.665448	0.672151	0.671064	0.680387	0.677446	0.674319	0.666945	0.672611	0.647463
f1score	0.669356	0.662492	0.680022	0.672549	0.672686	0.667695	0.656941	0.670388	0.661602	0.658429	0.679354	0.665174	0.667947	0.670380	0.679666	0.676629	0.673137	0.667234	0.671837	0.646104
mcc	0.341713	0.327387	0.361721	0.345830	0.346805	0.335858	0.314628	0.343165	0.323208	0.317099	0.359853	0.330412	0.339890	0.340973	0.359617	0.353659	0.347033	0.334620	0.343992	0.293003
spd0	0.204078	0.162995	0.094565	0.161229	0.169304	0.205442	0.140353	0.206797	0.157821	0.171639	0.168677	0.202558	0.175258	0.200785	0.208105	0.195750	0.210560	0.155646	0.184485	0.212384
aod0	0.180147	0.111168	0.034618	0.109812	0.131619	0.175444	0.091965	0.166358	0.128981	0.128077	0.123950	0.173549	0.120672	0.156036	0.179229	0.173377	0.183305	0.118875	0.151268	0.180198
eod0	0.138894	0.143066	0.051387	0.131870	0.156762	0.166536	0.129520	0.187691	0.096272	0.121565	0.121228	0.155465	0.136607	0.171721	0.171808	0.129902	0.161121	0.118070	0.144266	0.182958
spd1	0.117917	0.082494	0.111324	0.105370	0.128288	0.074218	0.060929	0.122436	0.135021	0.124751	0.089106	0.084095	0.082056	0.117473	0.135535	0.075631	0.076312	0.140876	0.097332	0.115017
aod1	0.083536	0.050591	0.093847	0.076997	0.094911	0.044050	0.037376	0.087901	0.112198	0.086024	0.063905	0.045334	0.047166	0.089594	0.100293	0.041135	0.048368	0.121736	0.070282	0.094856
eod1	0.096591	0.047304	0.049795	0.072171	0.092710	0.034147	0.023708	0.073396	0.129383	0.098115	0.038272	0.045812	0.020696	0.062330	0.128596	0.030200	0.035209	0.123838	0.077103	0.061573
spd2	0.231339	0.257703	0.287263	0.243056	0.289159	0.284204	0.296680	0.242525	0.255071	0.294579	0.280641	0.299994	0.203548	0.269089	0.256712	0.302275	0.263497	0.272900	0.254210	0.250240
aod2	0.175967	0.207777	0.245668	0.176344	0.233354	0.236766	0.262219	0.178767	0.207535	0.246017	0.227551	0.249132	0.134360	0.210259	0.195619	0.257672	0.224446	0.215088	0.204686	0.210164
eod2	0.169168	0.197298	0.198273	0.203165	0.231014	0.222073	0.217858	0.200598	0.187678	0.232413	0.195001	0.254612	0.148878	0.224929	0.185109	0.257119	0.186702	0.214765	0.209040	0.191133
wcspd	0.428655	0.422147	0.433982	0.431029	0.460747	0.483782	0.421774	0.483262	0.493349	0.467334	0.426587	0.465619	0.413177	0.456770	0.536221	0.481192	0.449719	0.467358	0.423048	0.433762
wcaod	0.419393	0.356586	0.354615	0.347866	0.399233	0.466640	0.383265	0.487371	0.428596	0.458679	0.394902	0.385666	0.307971	0.395520	0.509841	0.466110	0.439853	0.424680	0.391346	0.411460
wceod	0.314642	0.353939	0.319547	0.320683	0.388182	0.349469	0.343741	0.338964	0.376657	0.385454	0.322933	0.421605	0.301952	0.351252	0.386161	0.379355	0.331250	0.402783	0.360259	0.345604
avespd	0.155575	0.152620	0.150794	0.152596	0.177609	0.187378	0.167616	0.172878	0.158201	0.179269	0.169999	0.177605	0.138827	0.166668	0.186546	0.183468	0.183865	0.161589	0.161726	0.173790
aveaod	0.136121	0.113938	0.107796	0.105094	0.146932	0.165934	0.143602	0.145126	0.133322	0.170905	0.139360	0.142906	0.097653	0.126661	0.163508	0.159741	0.168671	0.126879	0.132597	0.157665
aveeod	0.105915	0.124704	0.104300	0.117328	0.144516	0.139934	0.126440	0.143644	0.103794	0.134532	0.116013	0.144509	0.101435	0.139169	0.136297	0.143877	0.127899	0.115255	0.131829	0.134870
